query,true_domain,pred_domain,true_intent,pred_intent,true_endpoint,pred_endpoint,true_parameters,pred_parameters,true_ontology,pred_ontology,domain_correct,intent_correct,endpoint_correct,parameter_correct,ontology_correct,full_correct
Search for a flight leaving New York for Tokyo on July 10.,Travel,Travel,SearchFlight,SearchFlight,/travel/flights/search,/travel/flights/search,from=New York;to=Tokyo;date=July 10,departure=New York;destination=Tokyo;date=July 10,SearchFlight,SearchFlight,True,True,True,False,True,False
Show available flights from Dubai to Bali on August 1.,Travel,Travel,SearchFlight,SearchFlight,/travel/flights/search,/travel/flights/search,from=Dubai;to=Bali;date=August 1,from=Dubai;to=Bali;date=August 1,SearchFlight,SearchFlight,True,True,True,True,True,True
What flights go from Istanbul to Berlin on next Friday?,Travel,Travel,SearchFlight,SearchFlight,/travel/flights/search,/travel/flights/search,from=Istanbul;to=Berlin;date=next Friday,from=Istanbul;to=Berlin;date=UNKNOWN,SearchFlight,SearchFlight,True,True,True,False,True,False
Look up flight options between Sydney and Singapore for September 15.,Travel,Travel,SearchFlight,SearchFlight,/travel/flights/search,/travel/flights/search,from=Sydney;to=Singapore;date=September 15,from=Sydney;to=Singapore;date=September 15,SearchFlight,SearchFlight,True,True,True,True,True,True
I need a flight from Toronto to Mexico City on 2026-07-04.,Travel,Travel,SearchFlight,SearchFlight,/travel/flights/search,/travel/flights/search,from=Toronto;to=Mexico City;date=2026-07-04,from=Toronto;to=Mexico City;date=2026-07-04,SearchFlight,SearchFlight,True,True,True,True,True,True
Which flight can take me from Cairo to Rome on Monday?,Travel,Travel,SearchFlight,SearchFlight,/travel/flights/search,/travel/flights/search,from=Cairo;to=Rome;date=Monday,from=Cairo;to=Rome;date=Monday,SearchFlight,SearchFlight,True,True,True,True,True,True
Check flight connections from Amsterdam to Seoul on June 30.,Travel,Travel,SearchFlight,SearchFlight,/travel/flights/search,/travel/flights/search,from=Amsterdam;to=Seoul;date=June 30,from=Amsterdam;to=Seoul;date=June 30,SearchFlight,SearchFlight,True,True,True,True,True,True
What routes are available from Johannesburg to Nairobi on December 20?,Travel,Travel,SearchFlight,SearchFlight,/travel/flights/search,/travel/flights/search,from=Johannesburg;to=Nairobi;date=December 20,from=Johannesburg;to=Nairobi;date=December 20,SearchFlight,SearchFlight,True,True,True,True,True,True
Can you check connections from Madrid to Buenos Aires on October 5?,Travel,Travel,SearchFlight,SearchFlight,/travel/flights/search,/travel/flights/search,from=Madrid;to=Buenos Aires;date=October 5,from=Madrid;to=Buenos Aires;date=October 5,SearchFlight,SearchFlight,True,True,True,True,True,True
Help me plan the Bangkok to Mumbai leg on this coming Thursday.,Travel,Travel,SearchFlight,SearchFlight,/travel/flights/search,/travel/flights/search,from=Bangkok;to=Mumbai;date=this coming Thursday,from=Bangkok;to=Mumbai;date=UNKNOWN,SearchFlight,SearchFlight,True,True,True,False,True,False
I have to be in Lisbon after leaving Vienna on November 11; what are my options?,Travel,Travel,SearchFlight,SearchFlight,/travel/flights/search,/travel/flights/search,from=Vienna;to=Lisbon;date=November 11,from=Vienna;to=Lisbon;date=2023-11-11,SearchFlight,SearchFlight,True,True,True,False,True,False
Book flight FL123 for passenger John Smith.,Travel,Travel,BookFlight,BookFlight,/travel/flights/book,/travel/flights/book,flightId=FL123;passengerName=John Smith,flightNumber=FL123;passengerName=John Smith,BookFlight,BookFlight,True,True,True,False,True,False
Reserve flight EK456 under the name Maria Garcia.,Travel,Travel,BookFlight,BookFlight,/travel/flights/book,/travel/flights/book,flightId=EK456;passengerName=Maria Garcia,flightNumber=EK456;passengerName=Maria Garcia,BookFlight,BookFlight,True,True,True,False,True,False
Please book flight TK789 for Ahmed Al-Rashid.,Travel,Travel,BookFlight,BookFlight,/travel/flights/book,/travel/flights/book,flightId=TK789;passengerName=Ahmed Al-Rashid,flightNumber=TK789;passengerName=Ahmed Al-Rashid,BookFlight,BookFlight,True,True,True,False,True,False
Confirm the booking for flight BA202 for Emily Johnson.,Travel,Travel,BookFlight,BookFlight,/travel/flights/book,/travel/flights/book,flightId=BA202;passengerName=Emily Johnson,flightNumber=BA202;passengerName=Emily Johnson,BookFlight,BookFlight,True,True,True,False,True,False
I want to reserve flight SQ315 for Liu Wei.,Travel,Travel,BookFlight,BookFlight,/travel/flights/book,/travel/flights/book,flightId=SQ315;passengerName=Liu Wei,flightNumber=SQ315;passengerName=Liu Wei,BookFlight,BookFlight,True,True,True,False,True,False
Can you book flight AF550 with passenger Pierre Dupont?,Travel,Travel,BookFlight,BookFlight,/travel/flights/book,/travel/flights/book,flightId=AF550;passengerName=Pierre Dupont,flightNumber=AF550;passengerName=Pierre Dupont,BookFlight,BookFlight,True,True,True,False,True,False
Please reserve flight LH830; the passenger is Priya Sharma.,Travel,Travel,BookFlight,BookFlight,/travel/flights/book,/travel/flights/book,flightId=LH830;passengerName=Priya Sharma,flightNumber=LH830;passengerName=Priya Sharma,BookFlight,BookFlight,True,True,True,False,True,False
Book flight QR100 and put Omar Abdullah on it.,Travel,Travel,BookFlight,BookFlight,/travel/flights/book,/travel/flights/book,flightId=QR100;passengerName=Omar Abdullah,flightNumber=QR100;passengerName=Omar Abdullah,BookFlight,BookFlight,True,True,True,False,True,False
Register Sarah O'Brien for AA77.,Travel,Travel,BookFlight,BookFlight,/travel/flights/book,/travel/flights/book,flightId=AA77;passengerName=Sarah O'Brien,passengerName=Sarah O'Brien;flightNumber=AA77,BookFlight,BookFlight,True,True,True,False,True,False
Go ahead with UA990; passenger name is Carlos Rivera.,Travel,Travel,BookFlight,BookFlight,/travel/flights/book,/travel/flights/book,flightId=UA990;passengerName=Carlos Rivera,flightNumber=UA990;passengerName=Carlos Rivera,BookFlight,BookFlight,True,True,True,False,True,False
Make Kenji Tanaka's seat official on IB640.,Travel,Travel,BookFlight,BookFlight,/travel/flights/book,/travel/flights/book,flightId=IB640;passengerName=Kenji Tanaka,passenger=Kenji Tanaka;flight=IB640,BookFlight,BookFlight,True,True,True,False,True,False
Finish the travel purchase for Fatima Al-Amin on EY350.,Travel,Travel,BookFlight,BookFlight,/travel/flights/book,/travel/flights/book,flightId=EY350;passengerName=Fatima Al-Amin,passengerName=Fatima Al-Amin;flightNumber=EY350,BookFlight,BookFlight,True,True,True,False,True,False
Cancel flight booking B00123.,Travel,Travel,CancelFlight,CancelFlight,/travel/flights/cancel,/travel/flights/cancel,bookingId=B00123,bookingId=B00123,CancelFlight,CancelFlight,True,True,True,True,True,True
I need to cancel my flight reservation FLT-8821.,Travel,Travel,CancelFlight,CancelFlight,/travel/flights/cancel,/travel/flights/cancel,bookingId=FLT-8821,flightId=FLT-8821,CancelFlight,CancelFlight,True,True,True,False,True,False
Please cancel the flight tied to booking TKT-990.,Travel,Travel,CancelFlight,CancelFlight,/travel/flights/cancel,/travel/flights/cancel,bookingId=TKT-990,bookingId=TKT-990,CancelFlight,CancelFlight,True,True,True,True,True,True
Cancel my upcoming flight with booking ID BK-4567.,Travel,Travel,CancelFlight,CancelFlight,/travel/flights/cancel,/travel/flights/cancel,bookingId=BK-4567,bookingId=BK-4567,CancelFlight,CancelFlight,True,True,True,True,True,True
Cancel the flight booking reference 20039.,Travel,Travel,CancelFlight,CancelFlight,/travel/flights/cancel,/travel/flights/cancel,bookingId=20039,bookingReference=20039,CancelFlight,CancelFlight,True,True,True,False,True,False
My travel changed; cancel flight booking REF-7732.,Travel,Travel,CancelFlight,CancelFlight,/travel/flights/cancel,/travel/flights/cancel,bookingId=REF-7732,bookingReference=REF-7732,CancelFlight,CancelFlight,True,True,True,False,True,False
"I cannot take the flight, so cancel booking 55AB-X.",Travel,Travel,CancelFlight,CancelFlight,/travel/flights/cancel,/travel/flights/cancel,bookingId=55AB-X,bookingId=55AB-X,CancelFlight,CancelFlight,True,True,True,True,True,True
Cancel flight reservation TRIP-1820 for me.,Travel,Travel,CancelFlight,CancelFlight,/travel/flights/cancel,/travel/flights/cancel,bookingId=TRIP-1820,reservationId=TRIP-1820,CancelFlight,CancelFlight,True,True,True,False,True,False
Stop the ticket associated with PNR-3344.,Travel,Travel,CancelFlight,CancelFlight,/travel/flights/cancel,/travel/flights/cancel,bookingId=PNR-3344,pnr=PNR-3344,CancelFlight,CancelFlight,True,True,True,False,True,False
I will not be flying on CNX-001; close it out.,Travel,Travel,CancelFlight,CancelFlight,/travel/flights/cancel,/travel/flights/cancel,bookingId=CNX-001,flightId=CNX-001,CancelFlight,CancelFlight,True,True,True,False,True,False
"Plans changed, so FLIGHT-66Z needs to go away.",Travel,Travel,CancelFlight,CancelFlight,/travel/flights/cancel,/travel/flights/cancel,bookingId=FLIGHT-66Z,flightId=FLIGHT-66Z,CancelFlight,CancelFlight,True,True,True,False,True,False
Can you make sure VF-2209 is not active anymore?,Travel,Order,CancelFlight,CancelOrder,/travel/flights/cancel,/orders/cancel,bookingId=VF-2209,orderId=VF-2209,CancelFlight,CancelOrder,False,False,False,False,False,False
Find hotels in Paris for 3 nights starting June 20.,Travel,Travel,SearchHotel,SearchHotel,/travel/hotels/search,/travel/hotels/search,city=Paris;checkIn=June 20;nights=3,location=Paris;duration=3;start_date=June 20,SearchHotel,SearchHotel,True,True,True,False,True,False
Search hotel options in Tokyo from July 5 for 7 nights.,Travel,Travel,SearchHotel,SearchHotel,/travel/hotels/search,/travel/hotels/search,city=Tokyo;checkIn=July 5;nights=7,location=Tokyo;check_in=July 5;duration=7,SearchHotel,SearchHotel,True,True,True,False,True,False
Show available hotels in Dubai checking in August 10 for 5 nights.,Travel,Travel,SearchHotel,SearchHotel,/travel/hotels/search,/travel/hotels/search,city=Dubai;checkIn=August 10;nights=5,location=Dubai;check_in=August 10;duration=5,SearchHotel,SearchHotel,True,True,True,False,True,False
I need a hotel in New York from next Monday for 2 nights.,Travel,Travel,SearchHotel,SearchHotel,/travel/hotels/search,/travel/hotels/search,city=New York;checkIn=next Monday;nights=2,location=New York;check_in=UNKNOWN;check_out=UNKNOWN;guests=UNKNOWN,SearchHotel,SearchHotel,True,True,True,False,True,False
Look up hotel availability in Barcelona beginning September 1 for 4 nights.,Travel,Travel,SearchHotel,SearchHotel,/travel/hotels/search,/travel/hotels/search,city=Barcelona;checkIn=September 1;nights=4,location=Barcelona;check_in=September 1;check_out=September 5;number_of_nights=4,SearchHotel,SearchHotel,True,True,True,False,True,False
Any hotel rooms in Rome from October 10 for 6 nights?,Travel,Travel,SearchHotel,SearchHotel,/travel/hotels/search,/travel/hotels/search,city=Rome;checkIn=October 10;nights=6,location=Rome;check_in=2023-10-10;check_out=2023-10-16;number_of_nights=6,SearchHotel,SearchHotel,True,True,True,False,True,False
"Check hotel stays in Singapore, starting November 15, for 3 nights.",Travel,Travel,SearchHotel,SearchHotel,/travel/hotels/search,/travel/hotels/search,city=Singapore;checkIn=November 15;nights=3,location=Singapore;check_in=November 15;nights=3,SearchHotel,SearchHotel,True,True,True,False,True,False
What hotel options are open in Istanbul on this Friday for 5 nights?,Travel,Travel,SearchHotel,SearchHotel,/travel/hotels/search,/travel/hotels/search,city=Istanbul;checkIn=this Friday;nights=5,location=Istanbul;check_in=UNKNOWN;check_out=UNKNOWN;number_of_nights=5,SearchHotel,SearchHotel,True,True,True,False,True,False
Any rooms around Bali for 10 nights after December 23?,Travel,Travel,SearchHotel,SearchHotel,/travel/hotels/search,/travel/hotels/search,city=Bali;checkIn=December 23;nights=10,location=Bali;check_in=2023-12-23;check_out=2024-01-02;duration=10,SearchHotel,SearchHotel,True,True,True,False,True,False
Where can I sleep in Amsterdam from January 3 for 2 nights?,Travel,Travel,SearchHotel,SearchHotel,/travel/hotels/search,/travel/hotels/search,city=Amsterdam;checkIn=January 3;nights=2,location=Amsterdam;check_in=2024-01-03;check_out=2024-01-05;guests=UNKNOWN,SearchHotel,SearchHotel,True,True,True,False,True,False
"Help me sort lodging in Sydney, March 15, for 8 nights.",Travel,Travel,SearchHotel,SearchHotel,/travel/hotels/search,/travel/hotels/search,city=Sydney;checkIn=March 15;nights=8,location=Sydney;check_in=2024-03-15;check_out=2024-03-23;number_of_nights=8,SearchHotel,SearchHotel,True,True,True,False,True,False
I need somewhere in Marrakech for 4 nights beginning April 5.,Travel,Travel,SearchHotel,SearchHotel,/travel/hotels/search,/travel/hotels/search,city=Marrakech;checkIn=April 5;nights=4,location=Marrakech;check_in=2023-04-05;check_out=2023-04-09;number_of_nights=4,SearchHotel,SearchHotel,True,True,True,False,True,False
Book hotel H-5520 for James Miller for 3 nights.,Travel,Travel,BookHotel,BookHotel,/travel/hotels/book,/travel/hotels/book,hotelId=H-5520;guestName=James Miller;nights=3,hotelId=H-5520;guestName=James Miller;nights=3,BookHotel,BookHotel,True,True,True,True,True,True
Reserve hotel GRAND-09 for Ana Petrova for 2 nights.,Travel,Travel,BookHotel,BookHotel,/travel/hotels/book,/travel/hotels/book,hotelId=GRAND-09;guestName=Ana Petrova;nights=2,hotelId=GRAND-09;guestName=Ana Petrova;nights=2,BookHotel,BookHotel,True,True,True,True,True,True
Please book hotel HTL-330 under Yuki Nakamura for 5 nights.,Travel,Travel,BookHotel,BookHotel,/travel/hotels/book,/travel/hotels/book,hotelId=HTL-330;guestName=Yuki Nakamura;nights=5,hotelId=HTL-330;guestName=Yuki Nakamura;nights=5,BookHotel,BookHotel,True,True,True,True,True,True
Confirm the hotel booking at AZURE-12 for Michael Brown for 1 night.,Travel,Travel,BookHotel,BookHotel,/travel/hotels/book,/travel/hotels/book,hotelId=AZURE-12;guestName=Michael Brown;nights=1,hotelId=AZURE-12;guestName=Michael Brown;duration=1,BookHotel,BookHotel,True,True,True,False,True,False
I want to reserve hotel PLAZA-77 for Leila Ahmadi for 7 nights.,Travel,Travel,BookHotel,BookHotel,/travel/hotels/book,/travel/hotels/book,hotelId=PLAZA-77;guestName=Leila Ahmadi;nights=7,hotel=PLAZA-77;guest=Leila Ahmadi;nights=7,BookHotel,BookHotel,True,True,True,False,True,False
Can you book hotel HILTON-X for guest Daniel Kim for 4 nights?,Travel,Travel,BookHotel,BookHotel,/travel/hotels/book,/travel/hotels/book,hotelId=HILTON-X;guestName=Daniel Kim;nights=4,hotel=HILTON-X;guest=Daniel Kim;nights=4,BookHotel,BookHotel,True,True,True,False,True,False
