query,true_domain,pred_domain,true_intent,pred_intent,true_endpoint,pred_endpoint,true_parameters,pred_parameters,true_ontology,pred_ontology,domain_correct,intent_correct,endpoint_correct,parameter_correct,ontology_correct,full_correct
Do you have a forecast for Sydney on June 25 in fahrenheit?,Weather,Weather,GetForecast,GetForecast,/weather/forecast,/weather/forecast,city=Sydney;date=June 25;unit=fahrenheit,city=Sydney;date=UNKNOWN;unit=fahrenheit,GetForecast,GetForecast,True,True,True,False,True,False
Do you think Rome gets storms on next Wednesday?,Weather,Unknown,GetForecast,Unknown,/weather/forecast,Unknown,city=Rome;date=next Wednesday,,GetForecast,Unknown,False,False,False,False,False,False
Check whether Miami looks cold or warm on Sunday.,Weather,Weather,GetForecast,GetTemperature,/weather/forecast,/weather/temperature,city=Miami;date=Sunday,city=Miami,GetForecast,GetTemperature,True,False,False,False,False,False
Should I pack an umbrella for Moscow on New Year's Eve?,Weather,Weather,GetForecast,GetForecast,/weather/forecast,/weather/forecast,city=Moscow;date=New Year's Eve,city=Moscow;date=UNKNOWN,GetForecast,GetForecast,True,True,True,False,True,False
"For my plans in Lisbon on July 4, do I need indoor backup?",Weather,Unknown,GetForecast,Unknown,/weather/forecast,Unknown,city=Lisbon;date=July 4,,GetForecast,Unknown,False,False,False,False,False,False
What's the air quality in Beijing today?,Weather,Weather,GetAirQuality,GetAirQuality,/weather/air-quality,/weather/air-quality,city=Beijing,city=Beijing,GetAirQuality,GetAirQuality,True,True,True,True,True,True
Can you check the AQI for Delhi?,Weather,Weather,GetAirQuality,GetAirQuality,/weather/air-quality,/weather/air-quality,city=Delhi,city=Delhi,GetAirQuality,GetAirQuality,True,True,True,True,True,True
Show me the air quality and pollution level in Zurich right now.,Weather,Weather,GetAirQuality,GetAirQuality,/weather/air-quality,/weather/air-quality,city=Zurich,city=Zurich,GetAirQuality,GetAirQuality,True,True,True,True,True,True
Give me the current air quality readings for Shanghai.,Weather,Weather,GetAirQuality,GetAirQuality,/weather/air-quality,/weather/air-quality,city=Shanghai,city=Shanghai,GetAirQuality,GetAirQuality,True,True,True,True,True,True
Fetch the air quality index for Los Angeles.,Weather,Weather,GetAirQuality,GetAirQuality,/weather/air-quality,/weather/air-quality,city=Los Angeles,city=Los Angeles,GetAirQuality,GetAirQuality,True,True,True,True,True,True
How is the AQI looking in Seoul?,Weather,Weather,GetAirQuality,GetAirQuality,/weather/air-quality,/weather/air-quality,city=Seoul,city=Seoul,GetAirQuality,GetAirQuality,True,True,True,True,True,True
Is the air quality in Cairo safe for a run?,Weather,Weather,GetAirQuality,GetAirQuality,/weather/air-quality,/weather/air-quality,city=Cairo,city=Cairo,GetAirQuality,GetAirQuality,True,True,True,True,True,True
Tell me the air quality and pollution situation around Mexico City.,Weather,Weather,GetAirQuality,GetAirQuality,/weather/air-quality,/weather/air-quality,city=Mexico City,city=Mexico City,GetAirQuality,GetAirQuality,True,True,True,True,True,True
Should someone sensitive avoid outdoor exercise in São Paulo?,Weather,Unknown,GetAirQuality,Unknown,/weather/air-quality,Unknown,city=São Paulo,,GetAirQuality,Unknown,False,False,False,False,False,False
How breathable is it outside in Jakarta?,Weather,Weather,GetAirQuality,GetAirQuality,/weather/air-quality,/weather/air-quality,city=Jakarta,city=Jakarta,GetAirQuality,GetAirQuality,True,True,True,True,True,True
Would a mask be sensible outdoors in Karachi today?,Weather,Unknown,GetAirQuality,Unknown,/weather/air-quality,Unknown,city=Karachi,,GetAirQuality,Unknown,False,False,False,False,False,False
Is it a good day for children to play outside in Bangkok?,Weather,Unknown,GetAirQuality,Unknown,/weather/air-quality,Unknown,city=Bangkok,,GetAirQuality,Unknown,False,False,False,False,False,False
What is the temperature in Istanbul right now?,Weather,Weather,GetTemperature,GetCurrentWeather,/weather/temperature,/weather/current,city=Istanbul,city=Istanbul,GetTemperature,GetCurrentWeather,True,False,False,True,False,False
Show me the current temperature for Phoenix in fahrenheit.,Weather,Weather,GetTemperature,GetTemperature,/weather/temperature,/weather/temperature,city=Phoenix;unit=fahrenheit,city=Phoenix;unit=fahrenheit,GetTemperature,GetTemperature,True,True,True,True,True,True
"What is the temperature in Reykjavik today, in celsius?",Weather,Weather,GetTemperature,GetTemperature,/weather/temperature,/weather/temperature,city=Reykjavik;unit=celsius,city=Reykjavik;unit=celsius,GetTemperature,GetTemperature,True,True,True,True,True,True
How cold is the temperature in Helsinki at the moment?,Weather,Weather,GetTemperature,GetTemperature,/weather/temperature,/weather/temperature,city=Helsinki,city=Helsinki,GetTemperature,GetTemperature,True,True,True,True,True,True
Give me the temperature reading in Mumbai.,Weather,Weather,GetTemperature,GetTemperature,/weather/temperature,/weather/temperature,city=Mumbai,city=Mumbai,GetTemperature,GetTemperature,True,True,True,True,True,True
What temperature should I expect in Buenos Aires now?,Weather,Weather,GetTemperature,GetTemperature,/weather/temperature,/weather/temperature,city=Buenos Aires,city=Buenos Aires,GetTemperature,GetTemperature,True,True,True,True,True,True
Is the temperature in Nairobi hot or cold today?,Weather,Weather,GetTemperature,GetTemperature,/weather/temperature,/weather/temperature,city=Nairobi,city=Nairobi,GetTemperature,GetTemperature,True,True,True,True,True,True
Check the temperature outside in Riyadh.,Weather,Weather,GetTemperature,GetTemperature,/weather/temperature,/weather/temperature,city=Riyadh,city=Riyadh,GetTemperature,GetTemperature,True,True,True,True,True,True
Do I need a coat in Lisbon today in celsius?,Weather,Weather,GetTemperature,GetTemperature,/weather/temperature,/weather/temperature,city=Lisbon;unit=celsius,city=Lisbon;unit=celsius,GetTemperature,GetTemperature,True,True,True,True,True,True
Is Cape Town chilly right now?,Weather,Weather,GetTemperature,GetCurrentWeather,/weather/temperature,/weather/current,city=Cape Town,city=UNKNOWN,GetTemperature,GetCurrentWeather,True,False,False,False,False,False
"Can I dress lightly in Oslo this afternoon, in fahrenheit?",Weather,Weather,GetTemperature,GetTemperature,/weather/temperature,/weather/temperature,city=Oslo;unit=fahrenheit,city=UNKNOWN;unit=fahrenheit,GetTemperature,GetTemperature,True,True,True,False,True,False
"Before I go out in Kuala Lumpur, should I expect it to feel warm?",Weather,Unknown,GetTemperature,Unknown,/weather/temperature,Unknown,city=Kuala Lumpur,,GetTemperature,Unknown,False,False,False,False,False,False
What is the wind speed in Chicago right now?,Weather,Weather,GetWindSpeed,GetWindSpeed,/weather/wind,/weather/wind,city=Chicago,city=UNKNOWN,GetWindSpeed,GetWindSpeed,True,True,True,False,True,False
Check the wind conditions in Amsterdam for me.,Weather,Weather,GetWindSpeed,GetWindSpeed,/weather/wind,/weather/wind,city=Amsterdam,city=Amsterdam,GetWindSpeed,GetWindSpeed,True,True,True,True,True,True
How strong are the winds in Wellington today?,Weather,Weather,GetWindSpeed,GetWindSpeed,/weather/wind,/weather/wind,city=Wellington,city=UNKNOWN,GetWindSpeed,GetWindSpeed,True,True,True,False,True,False
Is it windy in Dublin at the moment?,Weather,Weather,GetWindSpeed,GetWindSpeed,/weather/wind,/weather/wind,city=Dublin,city=UNKNOWN,GetWindSpeed,GetWindSpeed,True,True,True,False,True,False
Give me the wind report for Copenhagen.,Weather,Weather,GetWindSpeed,GetWindSpeed,/weather/wind,/weather/wind,city=Copenhagen,city=UNKNOWN,GetWindSpeed,GetWindSpeed,True,True,True,False,True,False
What are the wind conditions around Casablanca now?,Weather,Weather,GetWindSpeed,GetWindSpeed,/weather/wind,/weather/wind,city=Casablanca,city=UNKNOWN,GetWindSpeed,GetWindSpeed,True,True,True,False,True,False
Tell me the wind speed before I cycle in Edinburgh.,Weather,Weather,GetWindSpeed,GetWindSpeed,/weather/wind,/weather/wind,city=Edinburgh,city=UNKNOWN,GetWindSpeed,GetWindSpeed,True,True,True,False,True,False
Is the wind in Honolulu strong enough to affect sailing?,Weather,Weather,GetWindSpeed,GetWindSpeed,/weather/wind,/weather/wind,city=Honolulu,city=UNKNOWN,GetWindSpeed,GetWindSpeed,True,True,True,False,True,False
Tell me if Doha has strong gusts right now.,Weather,Weather,GetWindSpeed,GetCurrentWeather,/weather/wind,/weather/current,city=Doha,city=UNKNOWN,GetWindSpeed,GetCurrentWeather,True,False,False,False,False,False
Are outdoor tables likely to blow around in Bali?,Weather,Unknown,GetWindSpeed,Unknown,/weather/wind,Unknown,city=Bali,,GetWindSpeed,Unknown,False,False,False,False,False,False
Should I avoid a kite lesson in Marseille today?,Weather,Unknown,GetWindSpeed,Unknown,/weather/wind,Unknown,city=Marseille,,GetWindSpeed,Unknown,False,False,False,False,False,False
Will it feel calm enough for a waterfront walk in Lisbon?,Weather,Unknown,GetWindSpeed,Unknown,/weather/wind,Unknown,city=Lisbon,,GetWindSpeed,Unknown,False,False,False,False,False,False
Find flights from London to Paris on June 25.,Travel,Travel,SearchFlight,SearchFlight,/travel/flights/search,/travel/flights/search,from=London;to=Paris;date=June 25,from=London;to=Paris;date=UNKNOWN,SearchFlight,SearchFlight,True,True,True,False,True,False
Search for a flight leaving New York for Tokyo on July 10.,Travel,Product,SearchFlight,SearchProduct,/travel/flights/search,/products/search,from=New York;to=Tokyo;date=July 10,keyword=UNKNOWN,SearchFlight,SearchProduct,False,False,False,False,False,False
Show available flights from Dubai to Bali on August 1.,Travel,Travel,SearchFlight,SearchFlight,/travel/flights/search,/travel/flights/search,from=Dubai;to=Bali;date=August 1,from=Dubai;to=Bali;date=UNKNOWN,SearchFlight,SearchFlight,True,True,True,False,True,False
What flights go from Istanbul to Berlin on next Friday?,Travel,Weather,SearchFlight,GetForecast,/travel/flights/search,/weather/forecast,from=Istanbul;to=Berlin;date=next Friday,city=Istanbul;date=next Friday,SearchFlight,GetForecast,False,False,False,False,False,False
Look up flight options between Sydney and Singapore for September 15.,Travel,Unknown,SearchFlight,Unknown,/travel/flights/search,Unknown,from=Sydney;to=Singapore;date=September 15,,SearchFlight,Unknown,False,False,False,False,False,False
I need a flight from Toronto to Mexico City on 2026-07-04.,Travel,Travel,SearchFlight,SearchFlight,/travel/flights/search,/travel/flights/search,from=Toronto;to=Mexico City;date=2026-07-04,from=Toronto;to=Mexico City;date=2026-07-04,SearchFlight,SearchFlight,True,True,True,True,True,True
Which flight can take me from Cairo to Rome on Monday?,Travel,Unknown,SearchFlight,Unknown,/travel/flights/search,Unknown,from=Cairo;to=Rome;date=Monday,,SearchFlight,Unknown,False,False,False,False,False,False
Check flight connections from Amsterdam to Seoul on June 30.,Travel,Unknown,SearchFlight,Unknown,/travel/flights/search,Unknown,from=Amsterdam;to=Seoul;date=June 30,,SearchFlight,Unknown,False,False,False,False,False,False
What routes are available from Johannesburg to Nairobi on December 20?,Travel,Product,SearchFlight,CheckProductAvailability,/travel/flights/search,/products/availability,from=Johannesburg;to=Nairobi;date=December 20,productId=UNKNOWN,SearchFlight,CheckProductAvailability,False,False,False,False,False,False
Can you check connections from Madrid to Buenos Aires on October 5?,Travel,Unknown,SearchFlight,Unknown,/travel/flights/search,Unknown,from=Madrid;to=Buenos Aires;date=October 5,,SearchFlight,Unknown,False,False,False,False,False,False
Help me plan the Bangkok to Mumbai leg on this coming Thursday.,Travel,Unknown,SearchFlight,Unknown,/travel/flights/search,Unknown,from=Bangkok;to=Mumbai;date=this coming Thursday,,SearchFlight,Unknown,False,False,False,False,False,False
I have to be in Lisbon after leaving Vienna on November 11; what are my options?,Travel,Unknown,SearchFlight,Unknown,/travel/flights/search,Unknown,from=Vienna;to=Lisbon;date=November 11,,SearchFlight,Unknown,False,False,False,False,False,False
Book flight FL123 for passenger John Smith.,Travel,Travel,BookFlight,BookFlight,/travel/flights/book,/travel/flights/book,flightId=FL123;passengerName=John Smith,flightId=FL123;passengerName=John Smith,BookFlight,BookFlight,True,True,True,True,True,True
Reserve flight EK456 under the name Maria Garcia.,Travel,Travel,BookFlight,BookFlight,/travel/flights/book,/travel/flights/book,flightId=EK456;passengerName=Maria Garcia,flightId=UNKNOWN;passengerName=UNKNOWN,BookFlight,BookFlight,True,True,True,False,True,False
Please book flight TK789 for Ahmed Al-Rashid.,Travel,Travel,BookFlight,BookFlight,/travel/flights/book,/travel/flights/book,flightId=TK789;passengerName=Ahmed Al-Rashid,flightId=UNKNOWN;passengerName=UNKNOWN,BookFlight,BookFlight,True,True,True,False,True,False
Confirm the booking for flight BA202 for Emily Johnson.,Travel,Unknown,BookFlight,Unknown,/travel/flights/book,Unknown,flightId=BA202;passengerName=Emily Johnson,,BookFlight,Unknown,False,False,False,False,False,False
I want to reserve flight SQ315 for Liu Wei.,Travel,Travel,BookFlight,BookFlight,/travel/flights/book,/travel/flights/book,flightId=SQ315;passengerName=Liu Wei,flightId=UNKNOWN;passengerName=UNKNOWN,BookFlight,BookFlight,True,True,True,False,True,False
Can you book flight AF550 with passenger Pierre Dupont?,Travel,Travel,BookFlight,BookFlight,/travel/flights/book,/travel/flights/book,flightId=AF550;passengerName=Pierre Dupont,flightId=UNKNOWN;passengerName=Pierre Dupont,BookFlight,BookFlight,True,True,True,False,True,False
Please reserve flight LH830; the passenger is Priya Sharma.,Travel,Travel,BookFlight,BookFlight,/travel/flights/book,/travel/flights/book,flightId=LH830;passengerName=Priya Sharma,flightId=UNKNOWN;passengerName=UNKNOWN,BookFlight,BookFlight,True,True,True,False,True,False
Book flight QR100 and put Omar Abdullah on it.,Travel,Travel,BookFlight,BookFlight,/travel/flights/book,/travel/flights/book,flightId=QR100;passengerName=Omar Abdullah,flightId=UNKNOWN;passengerName=UNKNOWN,BookFlight,BookFlight,True,True,True,False,True,False
Register Sarah O'Brien for AA77.,Travel,Unknown,BookFlight,Unknown,/travel/flights/book,Unknown,flightId=AA77;passengerName=Sarah O'Brien,,BookFlight,Unknown,False,False,False,False,False,False
Go ahead with UA990; passenger name is Carlos Rivera.,Travel,Unknown,BookFlight,Unknown,/travel/flights/book,Unknown,flightId=UA990;passengerName=Carlos Rivera,,BookFlight,Unknown,False,False,False,False,False,False
Make Kenji Tanaka's seat official on IB640.,Travel,Unknown,BookFlight,Unknown,/travel/flights/book,Unknown,flightId=IB640;passengerName=Kenji Tanaka,,BookFlight,Unknown,False,False,False,False,False,False
Finish the travel purchase for Fatima Al-Amin on EY350.,Travel,Order,BookFlight,CreateOrder,/travel/flights/book,/orders/create,flightId=EY350;passengerName=Fatima Al-Amin,userId=UNKNOWN;productId=UNKNOWN;quantity=UNKNOWN,BookFlight,CreateOrder,False,False,False,False,False,False
Cancel flight booking B00123.,Travel,Travel,CancelFlight,CancelFlight,/travel/flights/cancel,/travel/flights/cancel,bookingId=B00123,bookingId=UNKNOWN,CancelFlight,CancelFlight,True,True,True,False,True,False
I need to cancel my flight reservation FLT-8821.,Travel,Unknown,CancelFlight,Unknown,/travel/flights/cancel,Unknown,bookingId=FLT-8821,,CancelFlight,Unknown,False,False,False,False,False,False
Please cancel the flight tied to booking TKT-990.,Travel,Unknown,CancelFlight,Unknown,/travel/flights/cancel,Unknown,bookingId=TKT-990,,CancelFlight,Unknown,False,False,False,False,False,False
Cancel my upcoming flight with booking ID BK-4567.,Travel,Unknown,CancelFlight,Unknown,/travel/flights/cancel,Unknown,bookingId=BK-4567,,CancelFlight,Unknown,False,False,False,False,False,False
Cancel the flight booking reference 20039.,Travel,Unknown,CancelFlight,Unknown,/travel/flights/cancel,Unknown,bookingId=20039,,CancelFlight,Unknown,False,False,False,False,False,False
My travel changed; cancel flight booking REF-7732.,Travel,Travel,CancelFlight,CancelFlight,/travel/flights/cancel,/travel/flights/cancel,bookingId=REF-7732,bookingId=UNKNOWN,CancelFlight,CancelFlight,True,True,True,False,True,False
"I cannot take the flight, so cancel booking 55AB-X.",Travel,Travel,CancelFlight,CancelFlight,/travel/flights/cancel,/travel/flights/cancel,bookingId=55AB-X,bookingId=UNKNOWN,CancelFlight,CancelFlight,True,True,True,False,True,False
Cancel flight reservation TRIP-1820 for me.,Travel,Travel,CancelFlight,CancelFlight,/travel/flights/cancel,/travel/flights/cancel,bookingId=TRIP-1820,bookingId=UNKNOWN,CancelFlight,CancelFlight,True,True,True,False,True,False
Stop the ticket associated with PNR-3344.,Travel,Unknown,CancelFlight,Unknown,/travel/flights/cancel,Unknown,bookingId=PNR-3344,,CancelFlight,Unknown,False,False,False,False,False,False
I will not be flying on CNX-001; close it out.,Travel,Unknown,CancelFlight,Unknown,/travel/flights/cancel,Unknown,bookingId=CNX-001,,CancelFlight,Unknown,False,False,False,False,False,False
"Plans changed, so FLIGHT-66Z needs to go away.",Travel,Unknown,CancelFlight,Unknown,/travel/flights/cancel,Unknown,bookingId=FLIGHT-66Z,,CancelFlight,Unknown,False,False,False,False,False,False
Can you make sure VF-2209 is not active anymore?,Travel,Unknown,CancelFlight,Unknown,/travel/flights/cancel,Unknown,bookingId=VF-2209,,CancelFlight,Unknown,False,False,False,False,False,False
Find hotels in Paris for 3 nights starting June 20.,Travel,Travel,SearchHotel,SearchHotel,/travel/hotels/search,/travel/hotels/search,city=Paris;checkIn=June 20;nights=3,city=Paris;checkIn=UNKNOWN;nights=3,SearchHotel,SearchHotel,True,True,True,False,True,False
Search hotel options in Tokyo from July 5 for 7 nights.,Travel,Travel,SearchHotel,SearchHotel,/travel/hotels/search,/travel/hotels/search,city=Tokyo;checkIn=July 5;nights=7,city=Tokyo;checkIn=UNKNOWN;nights=7,SearchHotel,SearchHotel,True,True,True,False,True,False
Show available hotels in Dubai checking in August 10 for 5 nights.,Travel,Travel,SearchHotel,SearchHotel,/travel/hotels/search,/travel/hotels/search,city=Dubai;checkIn=August 10;nights=5,city=Dubai;checkIn=UNKNOWN;nights=5,SearchHotel,SearchHotel,True,True,True,False,True,False
I need a hotel in New York from next Monday for 2 nights.,Travel,Weather,SearchHotel,GetForecast,/travel/hotels/search,/weather/forecast,city=New York;checkIn=next Monday;nights=2,city=New York;date=next Monday,SearchHotel,GetForecast,False,False,False,False,False,False
Look up hotel availability in Barcelona beginning September 1 for 4 nights.,Travel,Weather,SearchHotel,GetTemperature,/travel/hotels/search,/weather/temperature,city=Barcelona;checkIn=September 1;nights=4,city=Barcelona,SearchHotel,GetTemperature,False,False,False,False,False,False
Any hotel rooms in Rome from October 10 for 6 nights?,Travel,Weather,SearchHotel,GetTemperature,/travel/hotels/search,/weather/temperature,city=Rome;checkIn=October 10;nights=6,city=Rome,SearchHotel,GetTemperature,False,False,False,False,False,False
"Check hotel stays in Singapore, starting November 15, for 3 nights.",Travel,Weather,SearchHotel,GetTemperature,/travel/hotels/search,/weather/temperature,city=Singapore;checkIn=November 15;nights=3,city=Singapore,SearchHotel,GetTemperature,False,False,False,False,False,False
What hotel options are open in Istanbul on this Friday for 5 nights?,Travel,Weather,SearchHotel,GetTemperature,/travel/hotels/search,/weather/temperature,city=Istanbul;checkIn=this Friday;nights=5,city=Istanbul,SearchHotel,GetTemperature,False,False,False,False,False,False
Any rooms around Bali for 10 nights after December 23?,Travel,Unknown,SearchHotel,Unknown,/travel/hotels/search,Unknown,city=Bali;checkIn=December 23;nights=10,,SearchHotel,Unknown,False,False,False,False,False,False
Where can I sleep in Amsterdam from January 3 for 2 nights?,Travel,Unknown,SearchHotel,Unknown,/travel/hotels/search,Unknown,city=Amsterdam;checkIn=January 3;nights=2,,SearchHotel,Unknown,False,False,False,False,False,False
"Help me sort lodging in Sydney, March 15, for 8 nights.",Travel,Unknown,SearchHotel,Unknown,/travel/hotels/search,Unknown,city=Sydney;checkIn=March 15;nights=8,,SearchHotel,Unknown,False,False,False,False,False,False
I need somewhere in Marrakech for 4 nights beginning April 5.,Travel,Unknown,SearchHotel,Unknown,/travel/hotels/search,Unknown,city=Marrakech;checkIn=April 5;nights=4,,SearchHotel,Unknown,False,False,False,False,False,False
Book hotel H-5520 for James Miller for 3 nights.,Travel,Travel,BookHotel,BookHotel,/travel/hotels/book,/travel/hotels/book,hotelId=H-5520;guestName=James Miller;nights=3,hotelId=UNKNOWN;guestName=UNKNOWN;nights=3,BookHotel,BookHotel,True,True,True,False,True,False
Reserve hotel GRAND-09 for Ana Petrova for 2 nights.,Travel,Travel,BookHotel,BookHotel,/travel/hotels/book,/travel/hotels/book,hotelId=GRAND-09;guestName=Ana Petrova;nights=2,hotelId=UNKNOWN;guestName=UNKNOWN;nights=2,BookHotel,BookHotel,True,True,True,False,True,False
Please book hotel HTL-330 under Yuki Nakamura for 5 nights.,Travel,Travel,BookHotel,BookHotel,/travel/hotels/book,/travel/hotels/book,hotelId=HTL-330;guestName=Yuki Nakamura;nights=5,hotelId=UNKNOWN;guestName=UNKNOWN;nights=5,BookHotel,BookHotel,True,True,True,False,True,False
Confirm the hotel booking at AZURE-12 for Michael Brown for 1 night.,Travel,Weather,BookHotel,GetTemperature,/travel/hotels/book,/weather/temperature,hotelId=AZURE-12;guestName=Michael Brown;nights=1,city=UNKNOWN,BookHotel,GetTemperature,False,False,False,False,False,False
I want to reserve hotel PLAZA-77 for Leila Ahmadi for 7 nights.,Travel,Travel,BookHotel,BookHotel,/travel/hotels/book,/travel/hotels/book,hotelId=PLAZA-77;guestName=Leila Ahmadi;nights=7,hotelId=UNKNOWN;guestName=UNKNOWN;nights=7,BookHotel,BookHotel,True,True,True,False,True,False
Can you book hotel HILTON-X for guest Daniel Kim for 4 nights?,Travel,Travel,BookHotel,BookHotel,/travel/hotels/book,/travel/hotels/book,hotelId=HILTON-X;guestName=Daniel Kim;nights=4,hotelId=UNKNOWN;guestName=Daniel Kim;nights=4,BookHotel,BookHotel,True,True,True,False,True,False
"Reserve hotel RESORT-88; guest name Sophie Martin, stay length 6 nights.",Travel,Travel,BookHotel,BookHotel,/travel/hotels/book,/travel/hotels/book,hotelId=RESORT-88;guestName=Sophie Martin;nights=6,hotelId=UNKNOWN;guestName=UNKNOWN;nights=6,BookHotel,BookHotel,True,True,True,False,True,False
Book hotel INN-200 so Ravi Patel has it for 3 nights.,Travel,Travel,BookHotel,BookHotel,/travel/hotels/book,/travel/hotels/book,hotelId=INN-200;guestName=Ravi Patel;nights=3,hotelId=UNKNOWN;guestName=UNKNOWN;nights=3,BookHotel,BookHotel,True,True,True,False,True,False
"Hold a room at SUITES-55 for Elena Popescu, 2 nights.",Travel,Unknown,BookHotel,Unknown,/travel/hotels/book,Unknown,hotelId=SUITES-55;guestName=Elena Popescu;nights=2,,BookHotel,Unknown,False,False,False,False,False,False
Finalize Chris Evans's stay at BEACH-40 for 10 nights.,Travel,Unknown,BookHotel,Unknown,/travel/hotels/book,Unknown,hotelId=BEACH-40;guestName=Chris Evans;nights=10,,BookHotel,Unknown,False,False,False,False,False,False
Make sure Amara Diallo has lodging at MANOR-15 for 3 nights.,Travel,Unknown,BookHotel,Unknown,/travel/hotels/book,Unknown,hotelId=MANOR-15;guestName=Amara Diallo;nights=3,,BookHotel,Unknown,False,False,False,False,False,False
Lock in VISTA-22 for Omar Hassan over 5 nights.,Travel,Unknown,BookHotel,Unknown,/travel/hotels/book,Unknown,hotelId=VISTA-22;guestName=Omar Hassan;nights=5,,BookHotel,Unknown,False,False,False,False,False,False
Search product options for wireless headphones under $100.,Product,Product,SearchProduct,SearchProduct,/products/search,/products/search,keyword=wireless headphones;maxPrice=100,keyword=headphones,SearchProduct,SearchProduct,True,True,True,False,True,False
Find me product results for running shoes in sports.,Product,Product,SearchProduct,SearchProduct,/products/search,/products/search,keyword=running shoes;category=sports,keyword=running shoes;category=sports,SearchProduct,SearchProduct,True,True,True,True,True,True
Show products matching laptop under $800.,Product,Product,SearchProduct,SearchProduct,/products/search,/products/search,keyword=laptop;maxPrice=800,keyword=laptop,SearchProduct,SearchProduct,True,True,True,False,True,False
Look up product listings for coffee maker in kitchen.,Product,Unknown,SearchProduct,Unknown,/products/search,Unknown,keyword=coffee maker;category=kitchen,,SearchProduct,Unknown,False,False,False,False,False,False
