query,matched_query,similarity_score,true_domain,pred_domain,true_intent,pred_intent,true_endpoint,pred_endpoint,true_parameters,pred_parameters,true_ontology,pred_ontology,domain_correct,intent_correct,endpoint_correct,parameter_correct,ontology_correct,full_correct
Can you check the AQI for Delhi?,How is the AQI looking in Seoul?,0.5578001737594604,Weather,Weather,GetAirQuality,GetAirQuality,/weather/air-quality,/weather/air-quality,city=Delhi,city=Delhi,GetAirQuality,GetAirQuality,True,True,True,True,True,True
Show me the air quality and pollution level in Zurich right now.,Tell me the air quality and pollution situation around Mexico City.,0.6260936260223389,Weather,Weather,GetAirQuality,GetAirQuality,/weather/air-quality,/weather/air-quality,city=Zurich,city=Zurich,GetAirQuality,GetAirQuality,True,True,True,True,True,True
Give me the current air quality readings for Shanghai.,What's the air quality in Beijing today?,0.8290077447891235,Weather,Weather,GetAirQuality,GetAirQuality,/weather/air-quality,/weather/air-quality,city=Shanghai,city=Shanghai,GetAirQuality,GetAirQuality,True,True,True,True,True,True
Fetch the air quality index for Los Angeles.,Give me the current air quality readings for Shanghai.,0.6265175938606262,Weather,Weather,GetAirQuality,GetAirQuality,/weather/air-quality,/weather/air-quality,city=Los Angeles,city=Los Angeles,GetAirQuality,GetAirQuality,True,True,True,True,True,True
How is the AQI looking in Seoul?,Can you check the AQI for Delhi?,0.5578001737594604,Weather,Weather,GetAirQuality,GetAirQuality,/weather/air-quality,/weather/air-quality,city=Seoul,city=Seoul,GetAirQuality,GetAirQuality,True,True,True,True,True,True
Is the air quality in Cairo safe for a run?,What's the air quality in Beijing today?,0.5272679328918457,Weather,Weather,GetAirQuality,GetAirQuality,/weather/air-quality,/weather/air-quality,city=Cairo,city=Cairo,GetAirQuality,GetAirQuality,True,True,True,True,True,True
Tell me the air quality and pollution situation around Mexico City.,Show me the air quality and pollution level in Zurich right now.,0.6260936260223389,Weather,Weather,GetAirQuality,GetAirQuality,/weather/air-quality,/weather/air-quality,city=Mexico City,city=Mexico City,GetAirQuality,GetAirQuality,True,True,True,True,True,True
Should someone sensitive avoid outdoor exercise in São Paulo?,Is the air quality in Cairo safe for a run?,0.45630717277526855,Weather,Weather,GetAirQuality,GetAirQuality,/weather/air-quality,/weather/air-quality,city=São Paulo,city=UNKNOWN,GetAirQuality,GetAirQuality,True,True,True,False,True,False
How breathable is it outside in Jakarta?,Are outdoor tables likely to blow around in Bali?,0.4997362494468689,Weather,Weather,GetAirQuality,GetWindSpeed,/weather/air-quality,/weather/wind,city=Jakarta,city=Jakarta,GetAirQuality,GetWindSpeed,True,False,False,True,False,False
Would a mask be sensible outdoors in Karachi today?,How breathable is it outside in Jakarta?,0.3927432894706726,Weather,Weather,GetAirQuality,GetAirQuality,/weather/air-quality,/weather/air-quality,city=Karachi,city=Karachi,GetAirQuality,GetAirQuality,True,True,True,True,True,True
Is it a good day for children to play outside in Bangkok?,Help me plan the Bangkok to Mumbai leg on this coming Thursday.,0.4230614900588989,Weather,Travel,GetAirQuality,SearchFlight,/weather/air-quality,/travel/flights/search,city=Bangkok,from=UNKNOWN;to=UNKNOWN;date=UNKNOWN,GetAirQuality,SearchFlight,False,False,False,False,False,False
What is the temperature in Istanbul right now?,What's the weather like in Istanbul right now?,0.8823465704917908,Weather,Weather,GetTemperature,GetCurrentWeather,/weather/temperature,/weather/current,city=Istanbul,city=Istanbul,GetTemperature,GetCurrentWeather,True,False,False,True,False,False
Show me the current temperature for Phoenix in fahrenheit.,What is the temperature in Istanbul right now?,0.5466592311859131,Weather,Weather,GetTemperature,GetTemperature,/weather/temperature,/weather/temperature,city=Phoenix;unit=fahrenheit,city=Phoenix;unit=fahrenheit,GetTemperature,GetTemperature,True,True,True,True,True,True
"What is the temperature in Reykjavik today, in celsius?",How cold is the temperature in Helsinki at the moment?,0.6866136789321899,Weather,Weather,GetTemperature,GetTemperature,/weather/temperature,/weather/temperature,city=Reykjavik;unit=celsius,city=Reykjavik;unit=celsius,GetTemperature,GetTemperature,True,True,True,True,True,True
How cold is the temperature in Helsinki at the moment?,"What is the temperature in Reykjavik today, in celsius?",0.6866136789321899,Weather,Weather,GetTemperature,GetTemperature,/weather/temperature,/weather/temperature,city=Helsinki,city=Helsinki,GetTemperature,GetTemperature,True,True,True,True,True,True
Give me the temperature reading in Mumbai.,Tell me the current weather conditions in Tokyo.,0.6136527061462402,Weather,Weather,GetTemperature,GetCurrentWeather,/weather/temperature,/weather/current,city=Mumbai,city=Mumbai,GetTemperature,GetCurrentWeather,True,False,False,True,False,False
What temperature should I expect in Buenos Aires now?,Give me the temperature reading in Mumbai.,0.601992130279541,Weather,Weather,GetTemperature,GetTemperature,/weather/temperature,/weather/temperature,city=Buenos Aires,city=Buenos Aires,GetTemperature,GetTemperature,True,True,True,True,True,True
Is the temperature in Nairobi hot or cold today?,How cold is the temperature in Helsinki at the moment?,0.6141857504844666,Weather,Weather,GetTemperature,GetTemperature,/weather/temperature,/weather/temperature,city=Nairobi,city=Nairobi,GetTemperature,GetTemperature,True,True,True,True,True,True
Check the temperature outside in Riyadh.,"What is the temperature in Reykjavik today, in celsius?",0.591899037361145,Weather,Weather,GetTemperature,GetTemperature,/weather/temperature,/weather/temperature,city=Riyadh,city=Riyadh,GetTemperature,GetTemperature,True,True,True,True,True,True
Do I need a coat in Lisbon today in celsius?,"Can I dress lightly in Oslo this afternoon, in fahrenheit?",0.5529252886772156,Weather,Weather,GetTemperature,GetTemperature,/weather/temperature,/weather/temperature,city=Lisbon;unit=celsius,city=Lisbon;unit=celsius,GetTemperature,GetTemperature,True,True,True,True,True,True
Is Cape Town chilly right now?,Is the temperature in Nairobi hot or cold today?,0.5722094178199768,Weather,Weather,GetTemperature,GetTemperature,/weather/temperature,/weather/temperature,city=Cape Town,city=UNKNOWN,GetTemperature,GetTemperature,True,True,True,False,True,False
"Can I dress lightly in Oslo this afternoon, in fahrenheit?",Do I need a coat in Lisbon today in celsius?,0.5529252886772156,Weather,Weather,GetTemperature,GetTemperature,/weather/temperature,/weather/temperature,city=Oslo;unit=fahrenheit,city=UNKNOWN;unit=fahrenheit,GetTemperature,GetTemperature,True,True,True,False,True,False
"Before I go out in Kuala Lumpur, should I expect it to feel warm?",How is the weather feeling in Dubai at the moment?,0.519778311252594,Weather,Weather,GetTemperature,GetCurrentWeather,/weather/temperature,/weather/current,city=Kuala Lumpur,city=UNKNOWN,GetTemperature,GetCurrentWeather,True,False,False,False,False,False
What is the wind speed in Chicago right now?,Tell me the wind speed before I cycle in Edinburgh.,0.6382156610488892,Weather,Weather,GetWindSpeed,GetWindSpeed,/weather/wind,/weather/wind,city=Chicago,city=UNKNOWN,GetWindSpeed,GetWindSpeed,True,True,True,False,True,False
Check the wind conditions in Amsterdam for me.,Give me a quick read on conditions around Amsterdam.,0.7568279504776001,Weather,Weather,GetWindSpeed,GetCurrentWeather,/weather/wind,/weather/current,city=Amsterdam,city=Amsterdam,GetWindSpeed,GetCurrentWeather,True,False,False,True,False,False
How strong are the winds in Wellington today?,Is it windy in Dublin at the moment?,0.6354741454124451,Weather,Weather,GetWindSpeed,GetWindSpeed,/weather/wind,/weather/wind,city=Wellington,city=UNKNOWN,GetWindSpeed,GetWindSpeed,True,True,True,False,True,False
Is it windy in Dublin at the moment?,How strong are the winds in Wellington today?,0.6354741454124451,Weather,Weather,GetWindSpeed,GetWindSpeed,/weather/wind,/weather/wind,city=Dublin,city=UNKNOWN,GetWindSpeed,GetWindSpeed,True,True,True,False,True,False
Give me the wind report for Copenhagen.,Check the wind conditions in Amsterdam for me.,0.6672449707984924,Weather,Weather,GetWindSpeed,GetWindSpeed,/weather/wind,/weather/wind,city=Copenhagen,city=UNKNOWN,GetWindSpeed,GetWindSpeed,True,True,True,False,True,False
What are the wind conditions around Casablanca now?,What is the wind speed in Chicago right now?,0.5882083773612976,Weather,Weather,GetWindSpeed,GetWindSpeed,/weather/wind,/weather/wind,city=Casablanca,city=UNKNOWN,GetWindSpeed,GetWindSpeed,True,True,True,False,True,False
Tell me the wind speed before I cycle in Edinburgh.,What is the wind speed in Chicago right now?,0.6382156610488892,Weather,Weather,GetWindSpeed,GetWindSpeed,/weather/wind,/weather/wind,city=Edinburgh,city=UNKNOWN,GetWindSpeed,GetWindSpeed,True,True,True,False,True,False
Is the wind in Honolulu strong enough to affect sailing?,How strong are the winds in Wellington today?,0.5698096752166748,Weather,Weather,GetWindSpeed,GetWindSpeed,/weather/wind,/weather/wind,city=Honolulu,city=UNKNOWN,GetWindSpeed,GetWindSpeed,True,True,True,False,True,False
Tell me if Doha has strong gusts right now.,How is the weather feeling in Dubai at the moment?,0.5526000261306763,Weather,Weather,GetWindSpeed,GetCurrentWeather,/weather/wind,/weather/current,city=Doha,city=UNKNOWN,GetWindSpeed,GetCurrentWeather,True,False,False,False,False,False
Are outdoor tables likely to blow around in Bali?,Any rooms around Bali for 10 nights after December 23?,0.5153342485427856,Weather,Travel,GetWindSpeed,SearchHotel,/weather/wind,/travel/hotels/search,city=Bali,city=UNKNOWN;checkIn=UNKNOWN;nights=UNKNOWN,GetWindSpeed,SearchHotel,False,False,False,False,False,False
Should I avoid a kite lesson in Marseille today?,Give me the wind report for Copenhagen.,0.4071486294269562,Weather,Weather,GetWindSpeed,GetWindSpeed,/weather/wind,/weather/wind,city=Marseille,city=UNKNOWN,GetWindSpeed,GetWindSpeed,True,True,True,False,True,False
Will it feel calm enough for a waterfront walk in Lisbon?,Do I need a coat in Lisbon today in celsius?,0.4929628074169159,Weather,Weather,GetWindSpeed,GetTemperature,/weather/wind,/weather/temperature,city=Lisbon,city=Lisbon,GetWindSpeed,GetTemperature,True,False,False,True,False,False
Find flights from London to Paris on June 25.,Find hotels in Paris for 3 nights starting June 20.,0.5956261157989502,Travel,Travel,SearchFlight,SearchHotel,/travel/flights/search,/travel/hotels/search,from=London;to=Paris;date=June 25,city=London;checkIn=UNKNOWN;nights=UNKNOWN,SearchFlight,SearchHotel,True,False,False,False,False,False
Search for a flight leaving New York for Tokyo on July 10.,Search hotel options in Tokyo from July 5 for 7 nights.,0.564849853515625,Travel,Travel,SearchFlight,SearchHotel,/travel/flights/search,/travel/hotels/search,from=New York;to=Tokyo;date=July 10,city=Tokyo;checkIn=UNKNOWN;nights=UNKNOWN,SearchFlight,SearchHotel,True,False,False,False,False,False
Show available flights from Dubai to Bali on August 1.,Show available hotels in Dubai checking in August 10 for 5 nights.,0.5430159568786621,Travel,Travel,SearchFlight,SearchHotel,/travel/flights/search,/travel/hotels/search,from=Dubai;to=Bali;date=August 1,city=Dubai;checkIn=UNKNOWN;nights=UNKNOWN,SearchFlight,SearchHotel,True,False,False,False,False,False
What flights go from Istanbul to Berlin on next Friday?,What hotel options are open in Istanbul on this Friday for 5 nights?,0.599798321723938,Travel,Travel,SearchFlight,SearchHotel,/travel/flights/search,/travel/hotels/search,from=Istanbul;to=Berlin;date=next Friday,city=Istanbul;checkIn=next Friday;nights=UNKNOWN,SearchFlight,SearchHotel,True,False,False,False,False,False
Look up flight options between Sydney and Singapore for September 15.,"Check hotel stays in Singapore, starting November 15, for 3 nights.",0.5513633489608765,Travel,Travel,SearchFlight,SearchHotel,/travel/flights/search,/travel/hotels/search,from=Sydney;to=Singapore;date=September 15,city=Sydney;checkIn=UNKNOWN;nights=UNKNOWN,SearchFlight,SearchHotel,True,False,False,False,False,False
I need a flight from Toronto to Mexico City on 2026-07-04.,Search for a flight leaving New York for Tokyo on July 10.,0.5418217182159424,Travel,Travel,SearchFlight,SearchFlight,/travel/flights/search,/travel/flights/search,from=Toronto;to=Mexico City;date=2026-07-04,from=Toronto;to=Mexico City;date=2026-07-04,SearchFlight,SearchFlight,True,True,True,True,True,True
Which flight can take me from Cairo to Rome on Monday?,What flights go from Istanbul to Berlin on next Friday?,0.5339272618293762,Travel,Travel,SearchFlight,SearchFlight,/travel/flights/search,/travel/flights/search,from=Cairo;to=Rome;date=Monday,from=Cairo;to=Rome;date=Monday,SearchFlight,SearchFlight,True,True,True,True,True,True
Check flight connections from Amsterdam to Seoul on June 30.,Find flights from London to Paris on June 25.,0.568428635597229,Travel,Travel,SearchFlight,SearchFlight,/travel/flights/search,/travel/flights/search,from=Amsterdam;to=Seoul;date=June 30,from=Amsterdam;to=Seoul;date=UNKNOWN,SearchFlight,SearchFlight,True,True,True,False,True,False
What routes are available from Johannesburg to Nairobi on December 20?,Is the temperature in Nairobi hot or cold today?,0.5384278893470764,Travel,Weather,SearchFlight,GetTemperature,/travel/flights/search,/weather/temperature,from=Johannesburg;to=Nairobi;date=December 20,city=Nairobi,SearchFlight,GetTemperature,False,False,False,False,False,False
Can you check connections from Madrid to Buenos Aires on October 5?,Check flight connections from Amsterdam to Seoul on June 30.,0.4484933912754059,Travel,Travel,SearchFlight,SearchFlight,/travel/flights/search,/travel/flights/search,from=Madrid;to=Buenos Aires;date=October 5,from=Madrid;to=Buenos Aires;date=UNKNOWN,SearchFlight,SearchFlight,True,True,True,False,True,False
Help me plan the Bangkok to Mumbai leg on this coming Thursday.,Is it a good day for children to play outside in Bangkok?,0.4230614900588989,Travel,Weather,SearchFlight,GetAirQuality,/travel/flights/search,/weather/air-quality,from=Bangkok;to=Mumbai;date=this coming Thursday,city=Bangkok,SearchFlight,GetAirQuality,False,False,False,False,False,False
I have to be in Lisbon after leaving Vienna on November 11; what are my options?,"For my plans in Lisbon on July 4, do I need indoor backup?",0.5237915515899658,Travel,Weather,SearchFlight,GetForecast,/travel/flights/search,/weather/forecast,from=Vienna;to=Lisbon;date=November 11,city=Vienna;date=UNKNOWN,SearchFlight,GetForecast,False,False,False,False,False,False
Book flight FL123 for passenger John Smith.,Book flight QR100 and put Omar Abdullah on it.,0.4911031126976013,Travel,Travel,BookFlight,BookFlight,/travel/flights/book,/travel/flights/book,flightId=FL123;passengerName=John Smith,flightId=FL123;passengerName=John Smith,BookFlight,BookFlight,True,True,True,True,True,True
Reserve flight EK456 under the name Maria Garcia.,Please reserve flight LH830; the passenger is Priya Sharma.,0.529800295829773,Travel,Travel,BookFlight,BookFlight,/travel/flights/book,/travel/flights/book,flightId=EK456;passengerName=Maria Garcia,flightId=UNKNOWN;passengerName=UNKNOWN,BookFlight,BookFlight,True,True,True,False,True,False
Please book flight TK789 for Ahmed Al-Rashid.,Book flight QR100 and put Omar Abdullah on it.,0.5707864761352539,Travel,Travel,BookFlight,BookFlight,/travel/flights/book,/travel/flights/book,flightId=TK789;passengerName=Ahmed Al-Rashid,flightId=UNKNOWN;passengerName=UNKNOWN,BookFlight,BookFlight,True,True,True,False,True,False
Confirm the booking for flight BA202 for Emily Johnson.,Cancel flight booking B00123.,0.5876846313476562,Travel,Travel,BookFlight,CancelFlight,/travel/flights/book,/travel/flights/cancel,flightId=BA202;passengerName=Emily Johnson,bookingId=UNKNOWN,BookFlight,CancelFlight,True,False,False,False,False,False
I want to reserve flight SQ315 for Liu Wei.,Please reserve flight LH830; the passenger is Priya Sharma.,0.566128671169281,Travel,Travel,BookFlight,BookFlight,/travel/flights/book,/travel/flights/book,flightId=SQ315;passengerName=Liu Wei,flightId=UNKNOWN;passengerName=UNKNOWN,BookFlight,BookFlight,True,True,True,False,True,False
Can you book flight AF550 with passenger Pierre Dupont?,Please book flight TK789 for Ahmed Al-Rashid.,0.5339374542236328,Travel,Travel,BookFlight,BookFlight,/travel/flights/book,/travel/flights/book,flightId=AF550;passengerName=Pierre Dupont,flightId=UNKNOWN;passengerName=Pierre Dupont,BookFlight,BookFlight,True,True,True,False,True,False
Please reserve flight LH830; the passenger is Priya Sharma.,I want to reserve flight SQ315 for Liu Wei.,0.566128671169281,Travel,Travel,BookFlight,BookFlight,/travel/flights/book,/travel/flights/book,flightId=LH830;passengerName=Priya Sharma,flightId=UNKNOWN;passengerName=UNKNOWN,BookFlight,BookFlight,True,True,True,False,True,False
Book flight QR100 and put Omar Abdullah on it.,Please book flight TK789 for Ahmed Al-Rashid.,0.5707864761352539,Travel,Travel,BookFlight,BookFlight,/travel/flights/book,/travel/flights/book,flightId=QR100;passengerName=Omar Abdullah,flightId=UNKNOWN;passengerName=UNKNOWN,BookFlight,BookFlight,True,True,True,False,True,False
Register Sarah O'Brien for AA77.,Confirm the booking for flight BA202 for Emily Johnson.,0.3711814880371094,Travel,Travel,BookFlight,BookFlight,/travel/flights/book,/travel/flights/book,flightId=AA77;passengerName=Sarah O'Brien,flightId=UNKNOWN;passengerName=UNKNOWN,BookFlight,BookFlight,True,True,True,False,True,False
Go ahead with UA990; passenger name is Carlos Rivera.,Reserve flight EK456 under the name Maria Garcia.,0.40443816781044006,Travel,Travel,BookFlight,BookFlight,/travel/flights/book,/travel/flights/book,flightId=UA990;passengerName=Carlos Rivera,flightId=UNKNOWN;passengerName=UNKNOWN,BookFlight,BookFlight,True,True,True,False,True,False
Make Kenji Tanaka's seat official on IB640.,Book flight QR100 and put Omar Abdullah on it.,0.3806019723415375,Travel,Travel,BookFlight,BookFlight,/travel/flights/book,/travel/flights/book,flightId=IB640;passengerName=Kenji Tanaka,flightId=UNKNOWN;passengerName=UNKNOWN,BookFlight,BookFlight,True,True,True,False,True,False
Finish the travel purchase for Fatima Al-Amin on EY350.,Book flight QR100 and put Omar Abdullah on it.,0.43154609203338623,Travel,Travel,BookFlight,BookFlight,/travel/flights/book,/travel/flights/book,flightId=EY350;passengerName=Fatima Al-Amin,flightId=UNKNOWN;passengerName=UNKNOWN,BookFlight,BookFlight,True,True,True,False,True,False
Cancel flight booking B00123.,Cancel my upcoming flight with booking ID BK-4567.,0.832161009311676,Travel,Travel,CancelFlight,CancelFlight,/travel/flights/cancel,/travel/flights/cancel,bookingId=B00123,bookingId=UNKNOWN,CancelFlight,CancelFlight,True,True,True,False,True,False
I need to cancel my flight reservation FLT-8821.,Cancel flight booking B00123.,0.7417358160018921,Travel,Travel,CancelFlight,CancelFlight,/travel/flights/cancel,/travel/flights/cancel,bookingId=FLT-8821,bookingId=UNKNOWN,CancelFlight,CancelFlight,True,True,True,False,True,False
Please cancel the flight tied to booking TKT-990.,Cancel flight booking B00123.,0.7125544548034668,Travel,Travel,CancelFlight,CancelFlight,/travel/flights/cancel,/travel/flights/cancel,bookingId=TKT-990,bookingId=UNKNOWN,CancelFlight,CancelFlight,True,True,True,False,True,False
Cancel my upcoming flight with booking ID BK-4567.,Cancel flight booking B00123.,0.832161009311676,Travel,Travel,CancelFlight,CancelFlight,/travel/flights/cancel,/travel/flights/cancel,bookingId=BK-4567,bookingId=UNKNOWN,CancelFlight,CancelFlight,True,True,True,False,True,False
Cancel the flight booking reference 20039.,Cancel flight booking B00123.,0.7891831994056702,Travel,Travel,CancelFlight,CancelFlight,/travel/flights/cancel,/travel/flights/cancel,bookingId=20039,bookingId=UNKNOWN,CancelFlight,CancelFlight,True,True,True,False,True,False
My travel changed; cancel flight booking REF-7732.,Cancel flight booking B00123.,0.708737313747406,Travel,Travel,CancelFlight,CancelFlight,/travel/flights/cancel,/travel/flights/cancel,bookingId=REF-7732,bookingId=UNKNOWN,CancelFlight,CancelFlight,True,True,True,False,True,False
"I cannot take the flight, so cancel booking 55AB-X.",Cancel flight booking B00123.,0.699795663356781,Travel,Travel,CancelFlight,CancelFlight,/travel/flights/cancel,/travel/flights/cancel,bookingId=55AB-X,bookingId=UNKNOWN,CancelFlight,CancelFlight,True,True,True,False,True,False
Cancel flight reservation TRIP-1820 for me.,Cancel flight booking B00123.,0.7797983288764954,Travel,Travel,CancelFlight,CancelFlight,/travel/flights/cancel,/travel/flights/cancel,bookingId=TRIP-1820,bookingId=UNKNOWN,CancelFlight,CancelFlight,True,True,True,False,True,False
Stop the ticket associated with PNR-3344.,Cancel the flight booking reference 20039.,0.6040500998497009,Travel,Travel,CancelFlight,CancelFlight,/travel/flights/cancel,/travel/flights/cancel,bookingId=PNR-3344,bookingId=UNKNOWN,CancelFlight,CancelFlight,True,True,True,False,True,False
I will not be flying on CNX-001; close it out.,Please cancel the flight tied to booking TKT-990.,0.4605332911014557,Travel,Travel,CancelFlight,CancelFlight,/travel/flights/cancel,/travel/flights/cancel,bookingId=CNX-001,bookingId=UNKNOWN,CancelFlight,CancelFlight,True,True,True,False,True,False
"Plans changed, so FLIGHT-66Z needs to go away.","I cannot take the flight, so cancel booking 55AB-X.",0.4670262932777405,Travel,Travel,CancelFlight,CancelFlight,/travel/flights/cancel,/travel/flights/cancel,bookingId=FLIGHT-66Z,bookingId=UNKNOWN,CancelFlight,CancelFlight,True,True,True,False,True,False
Can you make sure VF-2209 is not active anymore?,Check availability for product SKU-77892.,0.3486484885215759,Travel,Product,CancelFlight,CheckProductAvailability,/travel/flights/cancel,/products/availability,bookingId=VF-2209,productId=UNKNOWN,CancelFlight,CheckProductAvailability,False,False,False,False,False,False
