query,true_domain,original_pred_domain,corrected_pred_domain,true_intent,original_pred_intent,corrected_pred_intent,true_endpoint,original_pred_endpoint,corrected_pred_endpoint,true_parameters,original_pred_parameters,corrected_pred_parameters,true_ontology,original_pred_ontology,corrected_pred_ontology,llm_ontology_domain_correct,llm_ontology_intent_correct,llm_ontology_endpoint_correct,llm_ontology_parameter_correct,llm_ontology_ontology_correct,llm_ontology_end_to_end_correct,ontology_validation_valid,has_hallucination,has_missing_parameters,ontology_inconsistent,missing_parameters,hallucinated_parameters
Will it rain or snow in London on next Monday?,Weather,Weather,Weather,GetForecast,GetForecast,GetForecast,/weather/forecast,/weather/forecast,/weather/forecast,city=London;date=next Monday,location=London;date=next Monday,city=London;date=next Monday,GetForecast,GetForecast,GetForecast,True,True,True,True,True,True,True,False,False,False,,
Give me the weather forecast for Barcelona on Saturday.,Weather,Weather,Weather,GetForecast,GetForecast,GetForecast,/weather/forecast,/weather/forecast,/weather/forecast,city=Barcelona;date=Saturday,location=Barcelona;date=Saturday,city=Barcelona;date=Saturday,GetForecast,GetForecast,GetForecast,True,True,True,True,True,True,True,False,False,False,,
What will the weather be like in New York 2026-06-20 in celsius?,Weather,Weather,Weather,GetForecast,GetForecast,GetForecast,/weather/forecast,/weather/forecast,/weather/forecast,city=New York;date=2026-06-20;unit=celsius,location=New York;date=2026-06-20;unit=celsius,city=New York;date=2026-06-20;unit=celsius,GetForecast,GetForecast,GetForecast,True,True,True,True,True,True,True,False,False,False,,
Check the forecasted conditions in Vienna for December 25.,Weather,Weather,Weather,GetForecast,GetForecast,GetForecast,/weather/forecast,/weather/forecast,/weather/forecast,city=Vienna;date=December 25,location=Vienna;date=2023-12-25,city=Vienna;date=2023-12-25,GetForecast,GetForecast,GetForecast,True,True,True,False,True,False,True,False,False,False,,
I am planning around Dubai on next Thursday; get the forecast.,Weather,Weather,Weather,GetForecast,GetForecast,GetForecast,/weather/forecast,/weather/forecast,/weather/forecast,city=Dubai;date=next Thursday,location=Dubai;date=next Thursday,city=Dubai;date=next Thursday,GetForecast,GetForecast,GetForecast,True,True,True,True,True,True,True,False,False,False,,
Do you have a forecast for Sydney on June 25 in fahrenheit?,Weather,Weather,Weather,GetForecast,GetForecast,GetForecast,/weather/forecast,/weather/forecast,/weather/forecast,city=Sydney;date=June 25;unit=fahrenheit,location=Sydney;date=June 25;unit=fahrenheit,city=Sydney;date=June 25;unit=fahrenheit,GetForecast,GetForecast,GetForecast,True,True,True,True,True,True,True,False,False,False,,
Do you think Rome gets storms on next Wednesday?,Weather,Weather,Weather,GetForecast,GetForecast,GetForecast,/weather/forecast,/weather/forecast,/weather/forecast,city=Rome;date=next Wednesday,location=Rome;date=next Wednesday,city=Rome;date=next Wednesday,GetForecast,GetForecast,GetForecast,True,True,True,True,True,True,True,False,False,False,,
Check whether Miami looks cold or warm on Sunday.,Weather,Weather,Weather,GetForecast,GetForecast,GetForecast,/weather/forecast,/weather/forecast,/weather/forecast,city=Miami;date=Sunday,location=Miami;date=Sunday,city=Miami;date=Sunday,GetForecast,GetForecast,GetForecast,True,True,True,True,True,True,True,False,False,False,,
Should I pack an umbrella for Moscow on New Year's Eve?,Weather,Weather,Weather,GetForecast,GetForecast,GetForecast,/weather/forecast,/weather/forecast,/weather/forecast,city=Moscow;date=New Year's Eve,location=Moscow;date=New Year's Eve,city=Moscow;date=New Year's Eve,GetForecast,GetForecast,GetForecast,True,True,True,True,True,True,True,False,False,False,,
"For my plans in Lisbon on July 4, do I need indoor backup?",Weather,Weather,Weather,GetForecast,GetForecast,GetForecast,/weather/forecast,/weather/forecast,/weather/forecast,city=Lisbon;date=July 4,location=Lisbon;date=July 4,city=Lisbon;date=July 4,GetForecast,GetForecast,GetForecast,True,True,True,True,True,True,True,False,False,False,,
What's the air quality in Beijing today?,Weather,Weather,Weather,GetAirQuality,GetAirQuality,GetAirQuality,/weather/air-quality,/weather/air-quality,/weather/air-quality,city=Beijing,location=Beijing;date=today,city=Beijing;date=today,GetAirQuality,GetAirQuality,GetAirQuality,True,True,True,True,True,True,False,True,False,True,,date
Can you check the AQI for Delhi?,Weather,Weather,Weather,GetAirQuality,GetAirQuality,GetAirQuality,/weather/air-quality,/weather/air-quality,/weather/air-quality,city=Delhi,location=Delhi,city=Delhi,GetAirQuality,GetAirQuality,GetAirQuality,True,True,True,True,True,True,True,False,False,False,,
Show me the air quality and pollution level in Zurich right now.,Weather,Weather,Weather,GetAirQuality,GetAirQuality,GetAirQuality,/weather/air-quality,/weather/air-quality,/weather/air-quality,city=Zurich,location=Zurich,city=Zurich,GetAirQuality,GetAirQuality,GetAirQuality,True,True,True,True,True,True,True,False,False,False,,
Give me the current air quality readings for Shanghai.,Weather,Weather,Weather,GetAirQuality,GetAirQuality,GetAirQuality,/weather/air-quality,/weather/air-quality,/weather/air-quality,city=Shanghai,location=Shanghai,city=Shanghai,GetAirQuality,GetAirQuality,GetAirQuality,True,True,True,True,True,True,True,False,False,False,,
Fetch the air quality index for Los Angeles.,Weather,Weather,Weather,GetAirQuality,GetAirQuality,GetAirQuality,/weather/air-quality,/weather/air-quality,/weather/air-quality,city=Los Angeles,location=Los Angeles,city=Los Angeles,GetAirQuality,GetAirQuality,GetAirQuality,True,True,True,True,True,True,True,False,False,False,,
How is the AQI looking in Seoul?,Weather,Weather,Weather,GetAirQuality,GetAirQuality,GetAirQuality,/weather/air-quality,/weather/air-quality,/weather/air-quality,city=Seoul,location=Seoul,city=Seoul,GetAirQuality,GetAirQuality,GetAirQuality,True,True,True,True,True,True,True,False,False,False,,
Is the air quality in Cairo safe for a run?,Weather,Weather,Weather,GetAirQuality,GetAirQuality,GetAirQuality,/weather/air-quality,/weather/air-quality,/weather/air-quality,city=Cairo,location=Cairo,city=Cairo,GetAirQuality,GetAirQuality,GetAirQuality,True,True,True,True,True,True,True,False,False,False,,
Tell me the air quality and pollution situation around Mexico City.,Weather,Weather,Weather,GetAirQuality,GetAirQuality,GetAirQuality,/weather/air-quality,/weather/air-quality,/weather/air-quality,city=Mexico City,location=Mexico City,city=Mexico City,GetAirQuality,GetAirQuality,GetAirQuality,True,True,True,True,True,True,True,False,False,False,,
Should someone sensitive avoid outdoor exercise in São Paulo?,Weather,Weather,Weather,GetAirQuality,GetAirQuality,GetAirQuality,/weather/air-quality,/weather/air-quality,/weather/air-quality,city=São Paulo,location=Sao Paulo;time=UNKNOWN,city=Sao Paulo;time=UNKNOWN,GetAirQuality,GetAirQuality,GetAirQuality,True,True,True,False,True,False,False,True,False,True,,time
How breathable is it outside in Jakarta?,Weather,Weather,Weather,GetAirQuality,GetAirQuality,GetAirQuality,/weather/air-quality,/weather/air-quality,/weather/air-quality,city=Jakarta,location=Jakarta,city=Jakarta,GetAirQuality,GetAirQuality,GetAirQuality,True,True,True,True,True,True,True,False,False,False,,
Would a mask be sensible outdoors in Karachi today?,Weather,Weather,Weather,GetAirQuality,GetAirQuality,GetAirQuality,/weather/air-quality,/weather/air-quality,/weather/air-quality,city=Karachi,location=Karachi;date=UNKNOWN,city=Karachi;date=UNKNOWN,GetAirQuality,GetAirQuality,GetAirQuality,True,True,True,True,True,True,False,True,False,True,,date
Is it a good day for children to play outside in Bangkok?,Weather,Weather,Weather,GetAirQuality,GetCurrentWeather,GetCurrentWeather,/weather/air-quality,/weather/current,/weather/current,city=Bangkok,location=Bangkok;date=UNKNOWN,city=Bangkok;date=UNKNOWN,GetAirQuality,GetCurrentWeather,GetCurrentWeather,True,False,False,True,False,False,False,True,False,True,,date
What is the temperature in Istanbul right now?,Weather,Weather,Weather,GetTemperature,GetTemperature,GetTemperature,/weather/temperature,/weather/temperature,/weather/temperature,city=Istanbul,location=Istanbul;time=UNKNOWN,city=Istanbul;time=UNKNOWN,GetTemperature,GetTemperature,GetTemperature,True,True,True,True,True,True,False,True,False,True,,time
Show me the current temperature for Phoenix in fahrenheit.,Weather,Weather,Weather,GetTemperature,GetTemperature,GetTemperature,/weather/temperature,/weather/temperature,/weather/temperature,city=Phoenix;unit=fahrenheit,location=Phoenix;unit=fahrenheit,city=Phoenix;unit=fahrenheit,GetTemperature,GetTemperature,GetTemperature,True,True,True,True,True,True,True,False,False,False,,
"What is the temperature in Reykjavik today, in celsius?",Weather,Weather,Weather,GetTemperature,GetTemperature,GetTemperature,/weather/temperature,/weather/temperature,/weather/temperature,city=Reykjavik;unit=celsius,location=Reykjavik;unit=celsius,city=Reykjavik;unit=celsius,GetTemperature,GetTemperature,GetTemperature,True,True,True,True,True,True,True,False,False,False,,
How cold is the temperature in Helsinki at the moment?,Weather,Weather,Weather,GetTemperature,GetTemperature,GetTemperature,/weather/temperature,/weather/temperature,/weather/temperature,city=Helsinki,location=Helsinki;time=UNKNOWN,city=Helsinki;time=UNKNOWN,GetTemperature,GetTemperature,GetTemperature,True,True,True,True,True,True,False,True,False,True,,time
Give me the temperature reading in Mumbai.,Weather,Weather,Weather,GetTemperature,GetTemperature,GetTemperature,/weather/temperature,/weather/temperature,/weather/temperature,city=Mumbai,location=Mumbai,city=Mumbai,GetTemperature,GetTemperature,GetTemperature,True,True,True,True,True,True,True,False,False,False,,
What temperature should I expect in Buenos Aires now?,Weather,Weather,Weather,GetTemperature,GetTemperature,GetTemperature,/weather/temperature,/weather/temperature,/weather/temperature,city=Buenos Aires,location=Buenos Aires;time=now,city=Buenos Aires;time=now,GetTemperature,GetTemperature,GetTemperature,True,True,True,True,True,True,False,True,False,True,,time
Is the temperature in Nairobi hot or cold today?,Weather,Weather,Weather,GetTemperature,GetTemperature,GetTemperature,/weather/temperature,/weather/temperature,/weather/temperature,city=Nairobi,location=Nairobi;date=UNKNOWN,city=Nairobi;date=UNKNOWN,GetTemperature,GetTemperature,GetTemperature,True,True,True,True,True,True,False,True,False,True,,date
Check the temperature outside in Riyadh.,Weather,Weather,Weather,GetTemperature,GetTemperature,GetTemperature,/weather/temperature,/weather/temperature,/weather/temperature,city=Riyadh,location=Riyadh,city=Riyadh,GetTemperature,GetTemperature,GetTemperature,True,True,True,True,True,True,True,False,False,False,,
Do I need a coat in Lisbon today in celsius?,Weather,Weather,Weather,GetTemperature,GetCurrentWeather,GetCurrentWeather,/weather/temperature,/weather/current,/weather/current,city=Lisbon;unit=celsius,location=Lisbon;unit=celsius,city=Lisbon;unit=celsius,GetTemperature,GetCurrentWeather,GetCurrentWeather,True,False,False,True,False,False,True,False,False,False,,
Is Cape Town chilly right now?,Weather,Weather,Weather,GetTemperature,GetCurrentWeather,GetCurrentWeather,/weather/temperature,/weather/current,/weather/current,city=Cape Town,location=Cape Town;temperature=UNKNOWN,city=Cape Town;temperature=UNKNOWN,GetTemperature,GetCurrentWeather,GetCurrentWeather,True,False,False,True,False,False,False,True,False,True,,temperature
"Can I dress lightly in Oslo this afternoon, in fahrenheit?",Weather,Weather,Weather,GetTemperature,GetCurrentWeather,GetCurrentWeather,/weather/temperature,/weather/current,/weather/current,city=Oslo;unit=fahrenheit,location=Oslo;unit=fahrenheit,city=Oslo;unit=fahrenheit,GetTemperature,GetCurrentWeather,GetCurrentWeather,True,False,False,True,False,False,True,False,False,False,,
"Before I go out in Kuala Lumpur, should I expect it to feel warm?",Weather,Weather,Weather,GetTemperature,GetCurrentWeather,GetCurrentWeather,/weather/temperature,/weather/current,/weather/current,city=Kuala Lumpur,location=Kuala Lumpur;temperature=UNKNOWN,city=Kuala Lumpur;temperature=UNKNOWN,GetTemperature,GetCurrentWeather,GetCurrentWeather,True,False,False,True,False,False,False,True,False,True,,temperature
What is the wind speed in Chicago right now?,Weather,Weather,Weather,GetWindSpeed,GetWindSpeed,GetWindSpeed,/weather/wind,/weather/wind,/weather/wind,city=Chicago,location=Chicago,city=Chicago,GetWindSpeed,GetWindSpeed,GetWindSpeed,True,True,True,True,True,True,True,False,False,False,,
Check the wind conditions in Amsterdam for me.,Weather,Weather,Weather,GetWindSpeed,GetWindSpeed,GetWindSpeed,/weather/wind,/weather/wind,/weather/wind,city=Amsterdam,location=Amsterdam,city=Amsterdam,GetWindSpeed,GetWindSpeed,GetWindSpeed,True,True,True,True,True,True,True,False,False,False,,
How strong are the winds in Wellington today?,Weather,Weather,Weather,GetWindSpeed,GetWindSpeed,GetWindSpeed,/weather/wind,/weather/wind,/weather/wind,city=Wellington,location=Wellington;date=today,city=Wellington;date=today,GetWindSpeed,GetWindSpeed,GetWindSpeed,True,True,True,True,True,True,False,True,False,True,,date
Is it windy in Dublin at the moment?,Weather,Weather,Weather,GetWindSpeed,GetWindSpeed,GetWindSpeed,/weather/wind,/weather/wind,/weather/wind,city=Dublin,location=Dublin;time=UNKNOWN,city=Dublin;time=UNKNOWN,GetWindSpeed,GetWindSpeed,GetWindSpeed,True,True,True,True,True,True,False,True,False,True,,time
Give me the wind report for Copenhagen.,Weather,Weather,Weather,GetWindSpeed,GetWindSpeed,GetWindSpeed,/weather/wind,/weather/wind,/weather/wind,city=Copenhagen,location=Copenhagen,city=Copenhagen,GetWindSpeed,GetWindSpeed,GetWindSpeed,True,True,True,True,True,True,True,False,False,False,,
What are the wind conditions around Casablanca now?,Weather,Weather,Weather,GetWindSpeed,GetWindSpeed,GetWindSpeed,/weather/wind,/weather/wind,/weather/wind,city=Casablanca,location=Casablanca,city=Casablanca,GetWindSpeed,GetWindSpeed,GetWindSpeed,True,True,True,True,True,True,True,False,False,False,,
Tell me the wind speed before I cycle in Edinburgh.,Weather,Weather,Weather,GetWindSpeed,GetWindSpeed,GetWindSpeed,/weather/wind,/weather/wind,/weather/wind,city=Edinburgh,location=Edinburgh,city=Edinburgh,GetWindSpeed,GetWindSpeed,GetWindSpeed,True,True,True,True,True,True,True,False,False,False,,
Is the wind in Honolulu strong enough to affect sailing?,Weather,Weather,Weather,GetWindSpeed,GetWindSpeed,GetWindSpeed,/weather/wind,/weather/wind,/weather/wind,city=Honolulu,location=Honolulu;strength=UNKNOWN,city=Honolulu;strength=UNKNOWN,GetWindSpeed,GetWindSpeed,GetWindSpeed,True,True,True,True,True,True,False,True,False,True,,strength
Tell me if Doha has strong gusts right now.,Weather,Weather,Weather,GetWindSpeed,GetWindSpeed,GetWindSpeed,/weather/wind,/weather/wind,/weather/wind,city=Doha,location=Doha;strength=UNKNOWN,city=Doha;strength=UNKNOWN,GetWindSpeed,GetWindSpeed,GetWindSpeed,True,True,True,True,True,True,False,True,False,True,,strength
Are outdoor tables likely to blow around in Bali?,Weather,Weather,Weather,GetWindSpeed,GetWindSpeed,GetWindSpeed,/weather/wind,/weather/wind,/weather/wind,city=Bali,location=Bali;time=UNKNOWN,city=Bali;time=UNKNOWN,GetWindSpeed,GetWindSpeed,GetWindSpeed,True,True,True,True,True,True,False,True,False,True,,time
Should I avoid a kite lesson in Marseille today?,Weather,Weather,Weather,GetWindSpeed,GetCurrentWeather,GetCurrentWeather,/weather/wind,/weather/current,/weather/current,city=Marseille,location=Marseille;date=today,city=Marseille;date=today,GetWindSpeed,GetCurrentWeather,GetCurrentWeather,True,False,False,True,False,False,False,True,False,True,,date
Will it feel calm enough for a waterfront walk in Lisbon?,Weather,Weather,Weather,GetWindSpeed,GetCurrentWeather,GetCurrentWeather,/weather/wind,/weather/current,/weather/current,city=Lisbon,location=Lisbon;time=UNKNOWN,city=Lisbon;time=UNKNOWN,GetWindSpeed,GetCurrentWeather,GetCurrentWeather,True,False,False,True,False,False,False,True,False,True,,time
Find flights from London to Paris on June 25.,Travel,Travel,Travel,SearchFlight,SearchFlight,SearchFlight,/travel/flights/search,/travel/flights/search,/travel/flights/search,from=London;to=Paris;date=June 25,from=London;to=Paris;date=June 25,from=London;to=Paris;date=June 25,SearchFlight,SearchFlight,SearchFlight,True,True,True,True,True,True,True,False,False,False,,
Search for a flight leaving New York for Tokyo on July 10.,Travel,Travel,Travel,SearchFlight,SearchFlight,SearchFlight,/travel/flights/search,/travel/flights/search,/travel/flights/search,from=New York;to=Tokyo;date=July 10,departure=New York;destination=Tokyo;date=July 10,from=New York;to=Tokyo;date=July 10,SearchFlight,SearchFlight,SearchFlight,True,True,True,True,True,True,True,False,False,False,,
Show available flights from Dubai to Bali on August 1.,Travel,Travel,Travel,SearchFlight,SearchFlight,SearchFlight,/travel/flights/search,/travel/flights/search,/travel/flights/search,from=Dubai;to=Bali;date=August 1,from=Dubai;to=Bali;date=August 1,from=Dubai;to=Bali;date=August 1,SearchFlight,SearchFlight,SearchFlight,True,True,True,True,True,True,True,False,False,False,,
What flights go from Istanbul to Berlin on next Friday?,Travel,Travel,Travel,SearchFlight,SearchFlight,SearchFlight,/travel/flights/search,/travel/flights/search,/travel/flights/search,from=Istanbul;to=Berlin;date=next Friday,from=Istanbul;to=Berlin;date=UNKNOWN,from=Istanbul;to=Berlin;date=UNKNOWN,SearchFlight,SearchFlight,SearchFlight,True,True,True,False,True,False,True,False,False,False,,
Look up flight options between Sydney and Singapore for September 15.,Travel,Travel,Travel,SearchFlight,SearchFlight,SearchFlight,/travel/flights/search,/travel/flights/search,/travel/flights/search,from=Sydney;to=Singapore;date=September 15,from=Sydney;to=Singapore;date=September 15,from=Sydney;to=Singapore;date=September 15,SearchFlight,SearchFlight,SearchFlight,True,True,True,True,True,True,True,False,False,False,,
I need a flight from Toronto to Mexico City on 2026-07-04.,Travel,Travel,Travel,SearchFlight,SearchFlight,SearchFlight,/travel/flights/search,/travel/flights/search,/travel/flights/search,from=Toronto;to=Mexico City;date=2026-07-04,from=Toronto;to=Mexico City;date=2026-07-04,from=Toronto;to=Mexico City;date=2026-07-04,SearchFlight,SearchFlight,SearchFlight,True,True,True,True,True,True,True,False,False,False,,
Which flight can take me from Cairo to Rome on Monday?,Travel,Travel,Travel,SearchFlight,SearchFlight,SearchFlight,/travel/flights/search,/travel/flights/search,/travel/flights/search,from=Cairo;to=Rome;date=Monday,from=Cairo;to=Rome;date=Monday,from=Cairo;to=Rome;date=Monday,SearchFlight,SearchFlight,SearchFlight,True,True,True,True,True,True,True,False,False,False,,
Check flight connections from Amsterdam to Seoul on June 30.,Travel,Travel,Travel,SearchFlight,SearchFlight,SearchFlight,/travel/flights/search,/travel/flights/search,/travel/flights/search,from=Amsterdam;to=Seoul;date=June 30,from=Amsterdam;to=Seoul;date=June 30,from=Amsterdam;to=Seoul;date=June 30,SearchFlight,SearchFlight,SearchFlight,True,True,True,True,True,True,True,False,False,False,,
What routes are available from Johannesburg to Nairobi on December 20?,Travel,Travel,Travel,SearchFlight,SearchFlight,SearchFlight,/travel/flights/search,/travel/flights/search,/travel/flights/search,from=Johannesburg;to=Nairobi;date=December 20,from=Johannesburg;to=Nairobi;date=December 20,from=Johannesburg;to=Nairobi;date=December 20,SearchFlight,SearchFlight,SearchFlight,True,True,True,True,True,True,True,False,False,False,,
Can you check connections from Madrid to Buenos Aires on October 5?,Travel,Travel,Travel,SearchFlight,SearchFlight,SearchFlight,/travel/flights/search,/travel/flights/search,/travel/flights/search,from=Madrid;to=Buenos Aires;date=October 5,from=Madrid;to=Buenos Aires;date=October 5,from=Madrid;to=Buenos Aires;date=October 5,SearchFlight,SearchFlight,SearchFlight,True,True,True,True,True,True,True,False,False,False,,
Help me plan the Bangkok to Mumbai leg on this coming Thursday.,Travel,Travel,Travel,SearchFlight,SearchFlight,SearchFlight,/travel/flights/search,/travel/flights/search,/travel/flights/search,from=Bangkok;to=Mumbai;date=this coming Thursday,from=Bangkok;to=Mumbai;date=UNKNOWN,from=Bangkok;to=Mumbai;date=UNKNOWN,SearchFlight,SearchFlight,SearchFlight,True,True,True,False,True,False,True,False,False,False,,
I have to be in Lisbon after leaving Vienna on November 11; what are my options?,Travel,Travel,Travel,SearchFlight,SearchFlight,SearchFlight,/travel/flights/search,/travel/flights/search,/travel/flights/search,from=Vienna;to=Lisbon;date=November 11,from=Vienna;to=Lisbon;date=2023-11-11,from=Vienna;to=Lisbon;date=2023-11-11,SearchFlight,SearchFlight,SearchFlight,True,True,True,False,True,False,True,False,False,False,,
Book flight FL123 for passenger John Smith.,Travel,Travel,Travel,BookFlight,BookFlight,BookFlight,/travel/flights/book,/travel/flights/book,/travel/flights/book,flightId=FL123;passengerName=John Smith,flightNumber=FL123;passengerName=John Smith,flightNumber=FL123;passengerName=John Smith,BookFlight,BookFlight,BookFlight,True,True,True,False,True,False,False,True,True,True,flightId,flightNumber
Reserve flight EK456 under the name Maria Garcia.,Travel,Travel,Travel,BookFlight,BookFlight,BookFlight,/travel/flights/book,/travel/flights/book,/travel/flights/book,flightId=EK456;passengerName=Maria Garcia,flightNumber=EK456;passengerName=Maria Garcia,flightNumber=EK456;passengerName=Maria Garcia,BookFlight,BookFlight,BookFlight,True,True,True,False,True,False,False,True,True,True,flightId,flightNumber
Please book flight TK789 for Ahmed Al-Rashid.,Travel,Travel,Travel,BookFlight,BookFlight,BookFlight,/travel/flights/book,/travel/flights/book,/travel/flights/book,flightId=TK789;passengerName=Ahmed Al-Rashid,flightNumber=TK789;passengerName=Ahmed Al-Rashid,flightNumber=TK789;passengerName=Ahmed Al-Rashid,BookFlight,BookFlight,BookFlight,True,True,True,False,True,False,False,True,True,True,flightId,flightNumber
Confirm the booking for flight BA202 for Emily Johnson.,Travel,Travel,Travel,BookFlight,BookFlight,BookFlight,/travel/flights/book,/travel/flights/book,/travel/flights/book,flightId=BA202;passengerName=Emily Johnson,flightNumber=BA202;passengerName=Emily Johnson,flightNumber=BA202;passengerName=Emily Johnson,BookFlight,BookFlight,BookFlight,True,True,True,False,True,False,False,True,True,True,flightId,flightNumber
I want to reserve flight SQ315 for Liu Wei.,Travel,Travel,Travel,BookFlight,BookFlight,BookFlight,/travel/flights/book,/travel/flights/book,/travel/flights/book,flightId=SQ315;passengerName=Liu Wei,flightNumber=SQ315;passengerName=Liu Wei,flightNumber=SQ315;passengerName=Liu Wei,BookFlight,BookFlight,BookFlight,True,True,True,False,True,False,False,True,True,True,flightId,flightNumber
Can you book flight AF550 with passenger Pierre Dupont?,Travel,Travel,Travel,BookFlight,BookFlight,BookFlight,/travel/flights/book,/travel/flights/book,/travel/flights/book,flightId=AF550;passengerName=Pierre Dupont,flightNumber=AF550;passengerName=Pierre Dupont,flightNumber=AF550;passengerName=Pierre Dupont,BookFlight,BookFlight,BookFlight,True,True,True,False,True,False,False,True,True,True,flightId,flightNumber
Please reserve flight LH830; the passenger is Priya Sharma.,Travel,Travel,Travel,BookFlight,BookFlight,BookFlight,/travel/flights/book,/travel/flights/book,/travel/flights/book,flightId=LH830;passengerName=Priya Sharma,flightNumber=LH830;passengerName=Priya Sharma,flightNumber=LH830;passengerName=Priya Sharma,BookFlight,BookFlight,BookFlight,True,True,True,False,True,False,False,True,True,True,flightId,flightNumber
