query,domain,intent,endpoint,parameters,ontology_concept
Help me plan the Bangkok to Mumbai leg on this coming Thursday.,Travel,SearchFlight,/travel/flights/search,from=Bangkok;to=Mumbai;date=this coming Thursday,SearchFlight
I have to be in Lisbon after leaving Vienna on November 11; what are my options?,Travel,SearchFlight,/travel/flights/search,from=Vienna;to=Lisbon;date=November 11,SearchFlight
Book flight FL123 for passenger John Smith.,Travel,BookFlight,/travel/flights/book,flightId=FL123;passengerName=John Smith,BookFlight
Reserve flight EK456 under the name Maria Garcia.,Travel,BookFlight,/travel/flights/book,flightId=EK456;passengerName=Maria Garcia,BookFlight
Please book flight TK789 for Ahmed Al-Rashid.,Travel,BookFlight,/travel/flights/book,flightId=TK789;passengerName=Ahmed Al-Rashid,BookFlight
Confirm the booking for flight BA202 for Emily Johnson.,Travel,BookFlight,/travel/flights/book,flightId=BA202;passengerName=Emily Johnson,BookFlight
I want to reserve flight SQ315 for Liu Wei.,Travel,BookFlight,/travel/flights/book,flightId=SQ315;passengerName=Liu Wei,BookFlight
Can you book flight AF550 with passenger Pierre Dupont?,Travel,BookFlight,/travel/flights/book,flightId=AF550;passengerName=Pierre Dupont,BookFlight
Please reserve flight LH830; the passenger is Priya Sharma.,Travel,BookFlight,/travel/flights/book,flightId=LH830;passengerName=Priya Sharma,BookFlight
Book flight QR100 and put Omar Abdullah on it.,Travel,BookFlight,/travel/flights/book,flightId=QR100;passengerName=Omar Abdullah,BookFlight
Register Sarah O'Brien for AA77.,Travel,BookFlight,/travel/flights/book,flightId=AA77;passengerName=Sarah O'Brien,BookFlight
Go ahead with UA990; passenger name is Carlos Rivera.,Travel,BookFlight,/travel/flights/book,flightId=UA990;passengerName=Carlos Rivera,BookFlight
Make Kenji Tanaka's seat official on IB640.,Travel,BookFlight,/travel/flights/book,flightId=IB640;passengerName=Kenji Tanaka,BookFlight
Finish the travel purchase for Fatima Al-Amin on EY350.,Travel,BookFlight,/travel/flights/book,flightId=EY350;passengerName=Fatima Al-Amin,BookFlight
Cancel flight booking B00123.,Travel,CancelFlight,/travel/flights/cancel,bookingId=B00123,CancelFlight
I need to cancel my flight reservation FLT-8821.,Travel,CancelFlight,/travel/flights/cancel,bookingId=FLT-8821,CancelFlight
Please cancel the flight tied to booking TKT-990.,Travel,CancelFlight,/travel/flights/cancel,bookingId=TKT-990,CancelFlight
Cancel my upcoming flight with booking ID BK-4567.,Travel,CancelFlight,/travel/flights/cancel,bookingId=BK-4567,CancelFlight
Cancel the flight booking reference 20039.,Travel,CancelFlight,/travel/flights/cancel,bookingId=20039,CancelFlight
My travel changed; cancel flight booking REF-7732.,Travel,CancelFlight,/travel/flights/cancel,bookingId=REF-7732,CancelFlight
"I cannot take the flight, so cancel booking 55AB-X.",Travel,CancelFlight,/travel/flights/cancel,bookingId=55AB-X,CancelFlight
Cancel flight reservation TRIP-1820 for me.,Travel,CancelFlight,/travel/flights/cancel,bookingId=TRIP-1820,CancelFlight
Stop the ticket associated with PNR-3344.,Travel,CancelFlight,/travel/flights/cancel,bookingId=PNR-3344,CancelFlight
I will not be flying on CNX-001; close it out.,Travel,CancelFlight,/travel/flights/cancel,bookingId=CNX-001,CancelFlight
"Plans changed, so FLIGHT-66Z needs to go away.",Travel,CancelFlight,/travel/flights/cancel,bookingId=FLIGHT-66Z,CancelFlight
Can you make sure VF-2209 is not active anymore?,Travel,CancelFlight,/travel/flights/cancel,bookingId=VF-2209,CancelFlight
Find hotels in Paris for 3 nights starting June 20.,Travel,SearchHotel,/travel/hotels/search,city=Paris;checkIn=June 20;nights=3,SearchHotel
Search hotel options in Tokyo from July 5 for 7 nights.,Travel,SearchHotel,/travel/hotels/search,city=Tokyo;checkIn=July 5;nights=7,SearchHotel
Show available hotels in Dubai checking in August 10 for 5 nights.,Travel,SearchHotel,/travel/hotels/search,city=Dubai;checkIn=August 10;nights=5,SearchHotel
I need a hotel in New York from next Monday for 2 nights.,Travel,SearchHotel,/travel/hotels/search,city=New York;checkIn=next Monday;nights=2,SearchHotel
Look up hotel availability in Barcelona beginning September 1 for 4 nights.,Travel,SearchHotel,/travel/hotels/search,city=Barcelona;checkIn=September 1;nights=4,SearchHotel
Any hotel rooms in Rome from October 10 for 6 nights?,Travel,SearchHotel,/travel/hotels/search,city=Rome;checkIn=October 10;nights=6,SearchHotel
"Check hotel stays in Singapore, starting November 15, for 3 nights.",Travel,SearchHotel,/travel/hotels/search,city=Singapore;checkIn=November 15;nights=3,SearchHotel
What hotel options are open in Istanbul on this Friday for 5 nights?,Travel,SearchHotel,/travel/hotels/search,city=Istanbul;checkIn=this Friday;nights=5,SearchHotel
Any rooms around Bali for 10 nights after December 23?,Travel,SearchHotel,/travel/hotels/search,city=Bali;checkIn=December 23;nights=10,SearchHotel
Where can I sleep in Amsterdam from January 3 for 2 nights?,Travel,SearchHotel,/travel/hotels/search,city=Amsterdam;checkIn=January 3;nights=2,SearchHotel
"Help me sort lodging in Sydney, March 15, for 8 nights.",Travel,SearchHotel,/travel/hotels/search,city=Sydney;checkIn=March 15;nights=8,SearchHotel
I need somewhere in Marrakech for 4 nights beginning April 5.,Travel,SearchHotel,/travel/hotels/search,city=Marrakech;checkIn=April 5;nights=4,SearchHotel
Book hotel H-5520 for James Miller for 3 nights.,Travel,BookHotel,/travel/hotels/book,hotelId=H-5520;guestName=James Miller;nights=3,BookHotel
Reserve hotel GRAND-09 for Ana Petrova for 2 nights.,Travel,BookHotel,/travel/hotels/book,hotelId=GRAND-09;guestName=Ana Petrova;nights=2,BookHotel
Please book hotel HTL-330 under Yuki Nakamura for 5 nights.,Travel,BookHotel,/travel/hotels/book,hotelId=HTL-330;guestName=Yuki Nakamura;nights=5,BookHotel
Confirm the hotel booking at AZURE-12 for Michael Brown for 1 night.,Travel,BookHotel,/travel/hotels/book,hotelId=AZURE-12;guestName=Michael Brown;nights=1,BookHotel
I want to reserve hotel PLAZA-77 for Leila Ahmadi for 7 nights.,Travel,BookHotel,/travel/hotels/book,hotelId=PLAZA-77;guestName=Leila Ahmadi;nights=7,BookHotel
Can you book hotel HILTON-X for guest Daniel Kim for 4 nights?,Travel,BookHotel,/travel/hotels/book,hotelId=HILTON-X;guestName=Daniel Kim;nights=4,BookHotel
"Reserve hotel RESORT-88; guest name Sophie Martin, stay length 6 nights.",Travel,BookHotel,/travel/hotels/book,hotelId=RESORT-88;guestName=Sophie Martin;nights=6,BookHotel
Book hotel INN-200 so Ravi Patel has it for 3 nights.,Travel,BookHotel,/travel/hotels/book,hotelId=INN-200;guestName=Ravi Patel;nights=3,BookHotel
"Hold a room at SUITES-55 for Elena Popescu, 2 nights.",Travel,BookHotel,/travel/hotels/book,hotelId=SUITES-55;guestName=Elena Popescu;nights=2,BookHotel
Finalize Chris Evans's stay at BEACH-40 for 10 nights.,Travel,BookHotel,/travel/hotels/book,hotelId=BEACH-40;guestName=Chris Evans;nights=10,BookHotel
Make sure Amara Diallo has lodging at MANOR-15 for 3 nights.,Travel,BookHotel,/travel/hotels/book,hotelId=MANOR-15;guestName=Amara Diallo;nights=3,BookHotel
Lock in VISTA-22 for Omar Hassan over 5 nights.,Travel,BookHotel,/travel/hotels/book,hotelId=VISTA-22;guestName=Omar Hassan;nights=5,BookHotel
Search product options for wireless headphones under $100.,Product,SearchProduct,/products/search,keyword=wireless headphones;maxPrice=100,SearchProduct
Find me product results for running shoes in sports.,Product,SearchProduct,/products/search,keyword=running shoes;category=sports,SearchProduct
Show products matching laptop under $800.,Product,SearchProduct,/products/search,keyword=laptop;maxPrice=800,SearchProduct
Look up product listings for coffee maker in kitchen.,Product,SearchProduct,/products/search,keyword=coffee maker;category=kitchen,SearchProduct
Browse products for yoga mat under $50.,Product,SearchProduct,/products/search,keyword=yoga mat;maxPrice=50,SearchProduct
I am looking for product choices: gaming chair.,Product,SearchProduct,/products/search,keyword=gaming chair,SearchProduct
What product options do you have for noise-cancelling earbuds in electronics?,Product,SearchProduct,/products/search,keyword=noise-cancelling earbuds;category=electronics,SearchProduct
Pull up product matches for ergonomic office desk under $300.,Product,SearchProduct,/products/search,keyword=ergonomic office desk;maxPrice=300,SearchProduct
Help me shop for winter jacket in clothing.,Product,SearchProduct,/products/search,keyword=winter jacket;category=clothing,SearchProduct
Can you show alternatives for portable Bluetooth speaker?,Product,SearchProduct,/products/search,keyword=portable Bluetooth speaker,SearchProduct
I need ideas for buying vitamin supplement in health under $30.,Product,SearchProduct,/products/search,keyword=vitamin supplement;category=health;maxPrice=30,SearchProduct
Point me toward decent robot vacuum cleaner.,Product,SearchProduct,/products/search,keyword=robot vacuum cleaner,SearchProduct
Give me the product details for P-1023.,Product,GetProductDetails,/products/details,productId=P-1023,GetProductDetails
Show full information for product SKU-44891.,Product,GetProductDetails,/products/details,productId=SKU-44891,GetProductDetails
What are the product specs and details for PROD-772?,Product,GetProductDetails,/products/details,productId=PROD-772,GetProductDetails
Fetch product information for B00X9QH3EY.,Product,GetProductDetails,/products/details,productId=B00X9QH3EY,GetProductDetails
Open the details page for product ABC-990.,Product,GetProductDetails,/products/details,productId=ABC-990,GetProductDetails
Tell me the product information listed for ITEM-33052.,Product,GetProductDetails,/products/details,productId=ITEM-33052,GetProductDetails
I need details about product GADGET-7.,Product,GetProductDetails,/products/details,productId=GADGET-7,GetProductDetails
Pull up product details and specs for ZXY-001.,Product,GetProductDetails,/products/details,productId=ZXY-001,GetProductDetails
Let me inspect item CAT-5580 before buying.,Product,GetProductDetails,/products/details,productId=CAT-5580,GetProductDetails
Give me the full rundown on PR-4455.,Product,GetProductDetails,/products/details,productId=PR-4455,GetProductDetails
"Before I decide, what is TECH-2210 exactly?",Product,GetProductDetails,/products/details,productId=TECH-2210,GetProductDetails
Show what comes with MODEL-X99.,Product,GetProductDetails,/products/details,productId=MODEL-X99,GetProductDetails
Compare product P-100 and product P-200.,Product,CompareProducts,/products/compare,productId1=P-100;productId2=P-200,CompareProducts
Compare product SKU-A001 with product SKU-B002.,Product,CompareProducts,/products/compare,productId1=SKU-A001;productId2=SKU-B002,CompareProducts
What is the difference between product ITEM-55 and product ITEM-66?,Product,CompareProducts,/products/compare,productId1=ITEM-55;productId2=ITEM-66,CompareProducts
Compare the features of PROD-300 versus PROD-400.,Product,CompareProducts,/products/compare,productId1=PROD-300;productId2=PROD-400,CompareProducts
Compare the product features of GAD-X1 and GAD-X2.,Product,CompareProducts,/products/compare,productId1=GAD-X1;productId2=GAD-X2,CompareProducts
Can you compare M-Alpha with M-Beta?,Product,CompareProducts,/products/compare,productId1=M-Alpha;productId2=M-Beta,CompareProducts
Show the product difference between LAPTOP-A and LAPTOP-B.,Product,CompareProducts,/products/compare,productId1=LAPTOP-A;productId2=LAPTOP-B,CompareProducts
Help me compare product IDs PH-1 and PH-2.,Product,CompareProducts,/products/compare,productId1=PH-1;productId2=PH-2,CompareProducts
How does CAM-100 stack up against CAM-200?,Product,CompareProducts,/products/compare,productId1=CAM-100;productId2=CAM-200,CompareProducts
Show the tradeoffs between SHOE-RED and SHOE-BLUE.,Product,CompareProducts,/products/compare,productId1=SHOE-RED;productId2=SHOE-BLUE,CompareProducts
I am torn between HDP-1 and HDP-2; help me decide.,Product,CompareProducts,/products/compare,productId1=HDP-1;productId2=HDP-2,CompareProducts
"If I can only buy one, TV-50 or TV-65, what differs?",Product,CompareProducts,/products/compare,productId1=TV-50;productId2=TV-65,CompareProducts
Is product P-1023 currently available?,Product,CheckProductAvailability,/products/availability,productId=P-1023,CheckProductAvailability
Check availability for product SKU-77892.,Product,CheckProductAvailability,/products/availability,productId=SKU-77892,CheckProductAvailability
Is item PROD-550 in stock right now?,Product,CheckProductAvailability,/products/availability,productId=PROD-550,CheckProductAvailability
Show the stock status and availability for product ITEM-9900.,Product,CheckProductAvailability,/products/availability,productId=ITEM-9900,CheckProductAvailability
Verify product availability for GADGET-42.,Product,CheckProductAvailability,/products/availability,productId=GADGET-42,CheckProductAvailability
"Can product LAPTOP-PRO still be ordered, is it available?",Product,CheckProductAvailability,/products/availability,productId=LAPTOP-PRO,CheckProductAvailability
Do you have product MODEL-ZZ in stock?,Product,CheckProductAvailability,/products/availability,productId=MODEL-ZZ,CheckProductAvailability
"Before I visit the store, see if product SNEAKER-X is available.",Product,CheckProductAvailability,/products/availability,productId=SNEAKER-X,CheckProductAvailability
Tell me whether BOOK-1010 is still being sold.,Product,CheckProductAvailability,/products/availability,productId=BOOK-1010,CheckProductAvailability
Is HEADSET-PRO ready to ship?,Product,CheckProductAvailability,/products/availability,productId=HEADSET-PRO,CheckProductAvailability
Would checkout work for CAMERA-4K today?,Product,CheckProductAvailability,/products/availability,productId=CAMERA-4K,CheckProductAvailability
Can I actually buy WATCH-S5 now?,Product,CheckProductAvailability,/products/availability,productId=WATCH-S5,CheckProductAvailability
Show me the product reviews for P-1023.,Product,GetProductReviews,/products/reviews,productId=P-1023,GetProductReviews
Fetch customer reviews for product SKU-55009.,Product,GetProductReviews,/products/reviews,productId=SKU-55009,GetProductReviews
What are the reviews saying about product PROD-887?,Product,GetProductReviews,/products/reviews,productId=PROD-887,GetProductReviews
Display reviews and ratings for product ITEM-340.,Product,GetProductReviews,/products/reviews,productId=ITEM-340,GetProductReviews
Open the review section for product GADGET-9.,Product,GetProductReviews,/products/reviews,productId=GADGET-9,GetProductReviews
What do customers say in reviews for product LAPTOP-ULTRA?,Product,GetProductReviews,/products/reviews,productId=LAPTOP-ULTRA,GetProductReviews
Are buyers happy with product MODEL-K20? Show reviews.,Product,GetProductReviews,/products/reviews,productId=MODEL-K20,GetProductReviews
Give me user reviews on product SNEAKER-PRO.,Product,GetProductReviews,/products/reviews,productId=SNEAKER-PRO,GetProductReviews
How is HEADPHONE-360 rated by people who bought it?,Product,GetProductReviews,/products/reviews,productId=HEADPHONE-360,GetProductReviews
Let me see opinions from owners of TABLET-8.,Product,GetProductReviews,/products/reviews,productId=TABLET-8,GetProductReviews
"Before buying CAMERA-DSLR, what is the crowd verdict?",Product,GetProductReviews,/products/reviews,productId=CAMERA-DSLR,GetProductReviews
Does VACUUM-3000 have happy owners or complaints?,Product,GetProductReviews,/products/reviews,productId=VACUUM-3000,GetProductReviews
Create an order for 2 units of PROD-001 for user U-555.,Order,CreateOrder,/orders/create,userId=U-555;productId=PROD-001;quantity=2,CreateOrder
Place an order for user ACC-102: 1 of SKU-840.,Order,CreateOrder,/orders/create,userId=ACC-102;productId=SKU-840;quantity=1,CreateOrder
Create order for 3 units of ITEM-770 for account USER-33.,Order,CreateOrder,/orders/create,userId=USER-33;productId=ITEM-770;quantity=3,CreateOrder
Place a purchase order for 5 of GADGET-X under U-987.,Order,CreateOrder,/orders/create,userId=U-987;productId=GADGET-X;quantity=5,CreateOrder
Start and create a new order for user ACCT-500 with 1 of LAPTOP-22.,Order,CreateOrder,/orders/create,userId=ACCT-500;productId=LAPTOP-22;quantity=1,CreateOrder
I want to place an order for 4 of BOOK-55 for user USR-77.,Order,CreateOrder,/orders/create,userId=USR-77;productId=BOOK-55;quantity=4,CreateOrder
Create a purchase for BUYER-123: 2 pieces of MODEL-ZX.,Order,CreateOrder,/orders/create,userId=BUYER-123;productId=MODEL-ZX;quantity=2,CreateOrder
Place an order for MBR-09: 1 unit of SHOE-RED.,Order,CreateOrder,/orders/create,userId=MBR-09;productId=SHOE-RED;quantity=1,CreateOrder
Put through 10 x ITEM-BULK on account CORP-007.,Order,CreateOrder,/orders/create,userId=CORP-007;productId=ITEM-BULK;quantity=10,CreateOrder
Set up a cart for USER-X44 containing 6 of ELEC-90.,Order,CreateOrder,/orders/create,userId=USER-X44;productId=ELEC-90;quantity=6,CreateOrder
Have 3 of TABLET-NEW sent to account ACC-66.,Order,CreateOrder,/orders/create,userId=ACC-66;productId=TABLET-NEW;quantity=3,CreateOrder
"For UID-2048, make the system buy 1 of CAMERA-4K.",Order,CreateOrder,/orders/create,userId=UID-2048;productId=CAMERA-4K;quantity=1,CreateOrder
Cancel my order ORD-3391.,Order,CancelOrder,/orders/cancel,orderId=ORD-3391,CancelOrder
I need to cancel order ID ORDER-8820.,Order,CancelOrder,/orders/cancel,orderId=ORDER-8820,CancelOrder
Please cancel the purchase with order code OC-5544.,Order,CancelOrder,/orders/cancel,orderId=OC-5544,CancelOrder
Cancel order ORD-7001 before it ships.,Order,CancelOrder,/orders/cancel,orderId=ORD-7001,CancelOrder
Void and cancel order number REF-1129.,Order,CancelOrder,/orders/cancel,orderId=REF-1129,CancelOrder
I changed my mind; cancel purchase order 993-XY.,Order,CancelOrder,/orders/cancel,orderId=993-XY,CancelOrder
"Cancel the order I placed, CART-55K.",Order,CancelOrder,/orders/cancel,orderId=CART-55K,CancelOrder
Please cancel order ORD-20001 from processing.,Order,CancelOrder,/orders/cancel,orderId=ORD-20001,CancelOrder
Do not let order BILL-3320 go out.,Order,CancelOrder,/orders/cancel,orderId=BILL-3320,CancelOrder
Block shipment for PO-4488; I do not want it.,Order,CancelOrder,/orders/cancel,orderId=PO-4488,CancelOrder
I made a mistake with TXN-662; please make it go away.,Order,CancelOrder,/orders/cancel,orderId=TXN-662,CancelOrder
"Before dispatch, OID-1192 should not continue.",Order,CancelOrder,/orders/cancel,orderId=OID-1192,CancelOrder
Track order ORD-4422.,Order,TrackOrder,/orders/track,orderId=ORD-4422,TrackOrder
Where is my order ORDER-5510 right now?,Order,TrackOrder,/orders/track,orderId=ORDER-5510,TrackOrder
Show tracking info for order TRK-8821.,Order,TrackOrder,/orders/track,orderId=TRK-8821,TrackOrder
Check the delivery status of order ORD-4400.,Order,TrackOrder,/orders/track,orderId=ORD-4400,TrackOrder
Track the package for order REF-9902.,Order,TrackOrder,/orders/track,orderId=REF-9902,TrackOrder
Where is my package for order SHIP-7731?,Order,TrackOrder,/orders/track,orderId=SHIP-7731,TrackOrder
Track order ORDER-6612; has it shipped yet?,Order,TrackOrder,/orders/track,orderId=ORDER-6612,TrackOrder
Tell me the tracking progress for order TXN-441.,Order,TrackOrder,/orders/track,orderId=TXN-441,TrackOrder
When will PKG-0099 arrive?,Order,TrackOrder,/orders/track,orderId=PKG-0099,TrackOrder
Give me the latest delivery update on ORD-11230.,Order,TrackOrder,/orders/track,orderId=ORD-11230,TrackOrder
Is PCKG-3301 close to my address yet?,Order,TrackOrder,/orders/track,orderId=PCKG-3301,TrackOrder
What is happening with the parcel CART-880 now?,Order,TrackOrder,/orders/track,orderId=CART-880,TrackOrder
Return order ORD-5521 because arrived damaged.,Order,ReturnOrder,/orders/return,orderId=ORD-5521;reason=arrived damaged,ReturnOrder
Initiate a return for order REF-7701.,Order,ReturnOrder,/orders/return,orderId=REF-7701,ReturnOrder
Please process a return for purchase order RTN-1109 because wrong item delivered.,Order,ReturnOrder,/orders/return,orderId=RTN-1109;reason=wrong item delivered,ReturnOrder
I want to return order ORD-4455 because doesn't fit.,Order,ReturnOrder,/orders/return,orderId=ORD-4455;reason=doesn't fit,ReturnOrder
Start a return request for order TXN-8804.,Order,ReturnOrder,/orders/return,orderId=TXN-8804,ReturnOrder
I need to return purchase ORD-3300 because poor quality.,Order,ReturnOrder,/orders/return,orderId=ORD-3300;reason=poor quality,ReturnOrder
Can you create a return for order CART-220 because not satisfied?,Order,ReturnOrder,/orders/return,orderId=CART-220;reason=not satisfied,ReturnOrder
Return order ID PKG-5599 for me.,Order,ReturnOrder,/orders/return,orderId=PKG-5599,ReturnOrder
This purchase ORD-7762 needs to go back due to defective item.,Order,ReturnOrder,/orders/return,orderId=ORD-7762;reason=defective item,ReturnOrder
